FillingID,F_DatumTijdStart,F_DatumTijdEind,F_Machine,BatchID
1,2024-04-04 10:00:00,2024-04-04 11:05:00,Machine B1,1
2,2024-05-05 11:00:00,2024-05-05 12:11:00,Machine B2,2
3,2024-06-06 12:00:00,2024-06-06 14:02:00,Machine B3,3
4,2024-07-07 13:00:00,2024-07-07 14:59:00,Machine B4,4
5,2024-08-08 14:00:00,2024-08-08 15:35:00,Machine B0,5
6,2024-09-09 09:00:00,2024-09-09 11:17:00,Machine B1,6
7,2024-10-10 10:00:00,2024-10-10 11:27:00,Machine B2,7
8,2024-11-11 11:00:00,2024-11-11 12:34:00,Machine B3,8
9,2024-12-12 12:00:00,2024-12-12 13:12:00,Machine B4,9
10,2024-01-13 13:00:00,2024-01-13 14:52:00,Machine B0,10
11,2024-02-14 14:00:00,2024-02-14 16:50:00,Machine B1,11
12,2024-03-15 09:00:00,2024-03-15 10:12:00,Machine B2,12
13,2024-04-16 10:00:00,2024-04-16 11:04:00,Machine B3,13
14,2024-05-17 11:00:00,2024-05-17 13:39:00,Machine B4,14
15,2024-06-18 12:00:00,2024-06-18 13:11:00,Machine B0,15
16,2024-07-19 13:00:00,2024-07-19 15:17:00,Machine B1,16
17,2024-08-20 14:00:00,2024-08-20 15:53:00,Machine B2,17
18,2024-09-21 09:00:00,2024-09-21 10:27:00,Machine B3,18
19,2024-10-22 10:00:00,2024-10-22 11:07:00,Machine B4,19
20,2024-11-23 11:00:00,2024-11-23 13:29:00,Machine B0,20
21,2024-12-24 12:00:00,2024-12-24 13:50:00,Machine B1,21
22,2024-01-25 13:00:00,2024-01-25 14:30:00,Machine B2,22
23,2024-02-26 14:00:00,2024-02-26 16:07:00,Machine B3,23
24,2024-03-27 09:00:00,2024-03-27 10:38:00,Machine B4,24
25,2024-04-28 10:00:00,2024-04-28 11:45:00,Machine B0,25
26,2024-05-01 11:00:00,2024-05-01 13:52:00,Machine B1,26
27,2024-06-02 12:00:00,2024-06-02 14:44:00,Machine B2,27
28,2024-07-03 13:00:00,2024-07-03 14:45:00,Machine B3,28
29,2024-08-04 14:00:00,2024-08-04 16:33:00,Machine B4,29
30,2024-09-05 09:00:00,2024-09-05 11:25:00,Machine B0,30
31,2024-10-06 10:00:00,2024-10-06 11:50:00,Machine B1,31
32,2024-11-07 11:00:00,2024-11-07 13:36:00,Machine B2,32
33,2024-12-08 12:00:00,2024-12-08 14:18:00,Machine B3,33
34,2024-01-09 13:00:00,2024-01-09 14:31:00,Machine B4,34
35,2024-02-10 14:00:00,2024-02-10 15:48:00,Machine B0,35
36,2024-03-11 09:00:00,2024-03-11 11:49:00,Machine B1,36
37,2024-04-12 10:00:00,2024-04-12 12:44:00,Machine B2,37
38,2024-05-13 11:00:00,2024-05-13 13:43:00,Machine B3,38
39,2024-06-14 12:00:00,2024-06-14 14:55:00,Machine B4,39
40,2024-07-15 13:00:00,2024-07-15 14:57:00,Machine B0,40
41,2024-08-16 14:00:00,2024-08-16 15:31:00,Machine B1,41
42,2024-09-17 09:00:00,2024-09-17 10:35:00,Machine B2,42
43,2024-10-18 10:00:00,2024-10-18 12:14:00,Machine B3,43
44,2024-11-19 11:00:00,2024-11-19 12:48:00,Machine B4,44
45,2024-12-20 12:00:00,2024-12-20 14:26:00,Machine B0,45
46,2024-01-21 13:00:00,2024-01-21 15:19:00,Machine B1,46
47,2024-02-22 14:00:00,2024-02-22 15:51:00,Machine B2,47
48,2024-03-23 09:00:00,2024-03-23 10:57:00,Machine B3,48
49,2024-04-24 10:00:00,2024-04-24 11:54:00,Machine B4,49
50,2024-05-25 11:00:00,2024-05-25 13:39:00,Machine B0,50
51,2024-06-26 12:00:00,2024-06-26 13:54:00,Machine B1,51
52,2024-07-27 13:00:00,2024-07-27 14:37:00,Machine B2,52
53,2024-08-28 14:00:00,2024-08-28 16:44:00,Machine B3,53
54,2024-09-01 09:00:00,2024-09-01 11:41:00,Machine B4,54
55,2024-10-02 10:00:00,2024-10-02 12:57:00,Machine B0,55
56,2024-11-03 11:00:00,2024-11-03 13:30:00,Machine B1,56
57,2024-12-04 12:00:00,2024-12-04 13:37:00,Machine B2,57
58,2024-01-05 13:00:00,2024-01-05 14:16:00,Machine B3,58
59,2024-02-06 14:00:00,2024-02-06 16:17:00,Machine B4,59
60,2024-03-07 09:00:00,2024-03-07 10:14:00,Machine B0,60
61,2024-04-08 10:00:00,2024-04-08 11:17:00,Machine B1,61
62,2024-05-09 11:00:00,2024-05-09 12:17:00,Machine B2,62
63,2024-06-10 12:00:00,2024-06-10 14:48:00,Machine B3,63
64,2024-07-11 13:00:00,2024-07-11 15:05:00,Machine B4,64
65,2024-08-12 14:00:00,2024-08-12 16:01:00,Machine B0,65
66,2024-09-13 09:00:00,2024-09-13 10:07:00,Machine B1,66
67,2024-10-14 10:00:00,2024-10-14 11:02:00,Machine B2,67
68,2024-11-15 11:00:00,2024-11-15 12:22:00,Machine B3,68
69,2024-12-16 12:00:00,2024-12-16 14:44:00,Machine B4,69
70,2024-01-17 13:00:00,2024-01-17 14:17:00,Machine B0,70
71,2024-02-18 14:00:00,2024-02-18 16:51:00,Machine B1,71
72,2024-03-19 09:00:00,2024-03-19 11:28:00,Machine B2,72
73,2024-04-20 10:00:00,2024-04-20 12:57:00,Machine B3,73
74,2024-05-21 11:00:00,2024-05-21 13:05:00,Machine B4,74
75,2024-06-22 12:00:00,2024-06-22 13:18:00,Machine B0,75
76,2024-07-23 13:00:00,2024-07-23 14:31:00,Machine B1,76
77,2024-08-24 14:00:00,2024-08-24 15:29:00,Machine B2,77
78,2024-09-25 09:00:00,2024-09-25 10:42:00,Machine B3,78
79,2024-10-26 10:00:00,2024-10-26 12:40:00,Machine B4,79
80,2024-11-27 11:00:00,2024-11-27 12:48:00,Machine B0,80
81,2024-12-28 12:00:00,2024-12-28 13:16:00,Machine B1,81
82,2024-01-01 13:00:00,2024-01-01 15:04:00,Machine B2,82
83,2024-02-02 14:00:00,2024-02-02 16:30:00,Machine B3,83
84,2024-03-03 09:00:00,2024-03-03 11:07:00,Machine B4,84
85,2024-04-04 10:00:00,2024-04-04 12:53:00,Machine B0,85
86,2024-05-05 11:00:00,2024-05-05 12:20:00,Machine B1,86
87,2024-06-06 12:00:00,2024-06-06 14:50:00,Machine B2,87
88,2024-07-07 13:00:00,2024-07-07 15:43:00,Machine B3,88
89,2024-08-08 14:00:00,2024-08-08 16:35:00,Machine B4,89
90,2024-09-09 09:00:00,2024-09-09 10:47:00,Machine B0,90
91,2024-10-10 10:00:00,2024-10-10 12:22:00,Machine B1,91
92,2024-11-11 11:00:00,2024-11-11 12:14:00,Machine B2,92
93,2024-12-12 12:00:00,2024-12-12 13:48:00,Machine B3,93
94,2024-01-13 13:00:00,2024-01-13 14:46:00,Machine B4,94
