0,1,2
1,1,7161
2,2,3726
3,3,687
4,4,3890
5,5,8177
6,6,8967
7,7,6086
8,8,4410
9,9,787
10,10,2038
11,11,5332
12,12,5725
13,13,3814
14,14,4128
15,15,3118
16,16,2672
17,17,3243
18,18,3918
19,19,6322
20,20,1550
21,21,5401
22,22,603
23,23,8247
24,24,1351
25,25,7368
26,26,920
27,27,8884
28,28,9159
29,29,7493
30,30,2725
31,31,7088
32,32,4079
33,33,1710
34,34,1560
35,35,8697
36,36,2384
37,37,1050
38,38,5086
39,39,8323
40,40,9405
41,41,6256
42,42,734
43,43,918
44,44,907
45,45,8510
46,46,983
47,47,5705
48,48,6277
49,49,9273
50,50,8515
51,51,9389
52,52,2104
53,53,1209
54,54,7076
55,55,7121
56,56,3793
57,57,5364
58,58,7564
59,59,1104
60,60,6004
61,61,5127
62,62,7874
63,63,2784
64,64,9850
65,65,7279
66,66,3013
67,67,2405
68,68,3261
69,69,8044
70,70,4641
71,71,2577
72,72,1248
73,73,8282
74,74,3179
75,75,6861
76,76,6376
77,77,8583
78,78,2957
79,79,1864
80,80,3299
81,81,8372
82,82,4556
83,83,3539
84,84,3759
85,85,5336
86,86,1701
87,87,1451
88,88,4282
89,89,1492
90,90,2527
91,91,8532
92,92,1638
93,93,2909
94,94,8836
95,95,7698
96,96,5900
97,97,2273
98,98,3259
99,99,9721
100,100,6095
101,101,1523
102,102,4101
103,103,3952
104,104,2819
105,105,4461
106,106,3454
107,107,2165
108,108,7174
109,109,2915
110,110,2238
111,111,8333
112,112,2976
113,113,2872
114,114,8108
115,115,787
116,116,838
117,117,9908
118,118,1354
119,119,2316
120,120,2225
121,121,7854
122,122,3792
123,123,6848
124,124,894
125,125,4412
126,126,6099
127,127,9041
128,128,8853
129,129,3233
130,130,1785
131,131,1679
132,132,659
133,133,3948
134,134,7395
135,135,4380
136,136,7151
137,137,9103
138,138,1795
139,139,7190
140,140,6689
141,141,2608
142,142,1879
143,143,8331
144,144,7082
145,145,8829
146,146,665
147,147,9984
148,148,6802
149,149,3132
150,150,7081
151,151,2321
152,152,7345
153,153,703
154,154,6939
155,155,6642
156,156,978
157,157,6128
158,158,3090
159,159,3884
160,160,2896
161,161,4441
162,162,1968
163,163,7191
164,164,3252
165,165,9184
166,166,3527
167,167,8996
168,168,5101
169,169,8146
170,170,2884
171,171,5208
172,172,2771
173,173,5823
174,174,4530
175,175,4008
176,176,1240
177,177,862
178,178,5462
179,179,9769
180,180,9801
181,181,5733
182,182,3311
183,183,4828
184,184,3813
185,185,4402
186,186,1435
187,187,4539
188,188,5669
189,189,8623
190,190,799
191,191,2200
192,192,7240
193,193,5302
194,194,7589
195,195,987
196,196,6769
197,197,6045
198,198,9894
199,199,6067
200,200,7420
201,201,6713
202,202,4641
203,203,1725
204,204,9644
205,205,6485
206,206,6698
207,207,3001
208,208,3475
209,209,5294
210,210,2771
211,211,2792
212,212,6157
213,213,2768
214,214,4862
215,215,9070
216,216,5164
217,217,9641
218,218,2039
219,219,2852
220,220,1531
221,221,5793
222,222,9633
223,223,3969
224,224,1822
225,225,1560
226,226,7233
227,227,2709
228,228,5466
229,229,5301
230,230,3971
231,231,5076
232,232,7162
233,233,5205
234,234,5321
235,235,6079
236,236,8324
237,237,513
238,238,5275
239,239,6027
240,240,657
241,241,548
242,242,5105
243,243,6249
244,244,1924
245,245,4816
246,246,9097
247,247,2856
248,248,6302
249,249,5069
250,250,6277
251,251,6046
252,252,5407
253,253,8237
254,254,9628
255,255,7546
256,256,8876
257,257,6654
258,258,4151
259,259,5198
260,260,2696
261,261,8439
262,262,1621
263,263,3090
264,264,3733
265,265,6016
266,266,3117
267,267,6177
268,268,9576
269,269,9098
270,270,6665
271,271,1774
272,272,506
273,273,7761
274,274,7732
275,275,5946
276,276,3645
277,277,9813
278,278,6068
279,279,1142
280,280,7269
281,281,7559
282,282,5838
283,283,9006
284,284,3379
285,285,2853
286,286,5321
287,287,3927
288,288,1748
289,289,5069
290,290,5260
291,291,3253
292,292,2255
293,293,6996
294,294,5976
295,295,9773
296,296,2430
297,297,636
298,298,5518
299,299,8988
300,300,2903
301,301,3128
302,302,7399
303,303,9063
304,304,8618
305,305,2265
306,306,7758
307,307,5013
308,308,9845
309,309,4993
310,310,8472
311,311,8509
312,312,583
313,313,7910
314,314,9473
315,315,7494
316,316,5405
317,317,6895
318,318,1692
319,319,4025
320,320,6833
321,321,8005
322,322,7203
323,323,8600
324,324,7898
325,325,2774
326,326,3986
327,327,4046
328,328,2628
329,329,5013
330,330,7254
331,331,4996
332,332,4635
333,333,2571
334,334,5295
335,335,2033
336,336,6508
337,337,4193
338,338,3045
339,339,4310
340,340,2704
341,341,1172
342,342,3458
343,343,6114
344,344,4755
345,345,5039
346,346,8055
347,347,2294
348,348,3270
349,349,3501
350,350,8990
351,351,7932
352,352,8154
353,353,2313
354,354,3645
355,355,785
356,356,8673
357,357,3650
358,358,1023
359,359,5439
360,360,3555
361,361,4567
362,362,6516
363,363,3254
364,364,6395
365,365,8744
366,366,1628
367,367,5508
368,368,4592
369,369,911
370,370,4126
371,371,9955
372,372,8926
373,373,3880
374,374,515
375,375,8112
376,376,1307
377,377,776
378,378,902
379,379,4322
380,380,1683
381,381,3962
382,382,4952
383,383,9588
384,384,7580
385,385,7208
386,386,6244
387,387,4911
388,388,1025
389,389,5968
390,390,6218
391,391,6977
392,392,6138
393,393,5803
394,394,6697
395,395,8447
396,396,3939
397,397,835
398,398,1634
399,399,9344
400,400,1197
401,401,1513
402,402,6213
403,403,5576
404,404,6999
405,405,2390
406,406,6874
407,407,4206
408,408,3783
409,409,6413
410,410,1685
411,411,6014
412,412,1827
413,413,1559
414,414,3982
415,415,8901
416,416,3935
417,417,6504
418,418,2634
419,419,8499
420,420,1946
421,421,3668
422,422,5599
423,423,4393
424,424,6895
425,425,5062
426,426,7470
427,427,6009
428,428,797
429,429,9671
430,430,1324
431,431,9032
432,432,6205
433,433,2020
434,434,5376
435,435,6458
436,436,636
437,437,4490
438,438,4399
439,439,9092
440,440,8086
441,441,8002
442,442,8527
443,443,6816
444,444,3264
445,445,2705
446,446,8168
447,447,6174
448,448,562
449,449,1138
450,450,2913
451,451,5559
452,452,7137
453,453,7373
454,454,7018
455,455,7029
456,456,4869
457,457,6078
458,458,1069
459,459,2357
460,460,2368
461,461,2062
462,462,4920
463,463,9123
464,464,4526
465,465,7054
466,466,8775
467,467,5058
468,468,3734
469,469,9605
470,470,7827
471,471,6328
472,472,8891
473,473,2614
474,474,3574
475,475,1110
476,476,1463
477,477,9802
478,478,657
479,479,1643
480,480,3973
481,481,6248
482,482,7539
483,483,3381
484,484,5401
485,485,7289
486,486,5127
487,487,4783
488,488,3278
489,489,7328
490,490,8522
491,491,1569
492,492,9040
493,493,9177
494,494,7193
495,495,5613
496,496,5390
497,497,5636
498,498,3088
499,499,6971
500,500,1694
501,501,7639
502,502,6241
503,503,3848
504,504,7054
505,505,6304
506,506,950
507,507,2037
508,508,8326
509,509,6248
510,510,3733
511,511,2710
512,512,2671
513,513,6271
514,514,3755
515,515,4835
516,516,3587
517,517,1113
518,518,3007
519,519,923
520,520,5125
521,521,9273
522,522,7983
523,523,6551
524,524,5844
525,525,7271
526,526,1875
527,527,7859
528,528,5257
529,529,6015
530,530,4010
531,531,8276
532,532,2865
533,533,5285
534,534,6307
535,535,4801
536,536,8574
537,537,8710
538,538,3794
539,539,3429
540,540,6394
541,541,7741
542,542,9070
543,543,4899
544,544,5822
545,545,8667
546,546,4429
547,547,6266
548,548,4145
549,549,9526
550,550,5934
551,551,6551
552,552,999
553,553,4791
554,554,6462
555,555,5987
556,556,8546
557,557,9776
558,558,4570
559,559,6900
560,560,9291
561,561,6332
562,562,510
563,563,5933
564,564,3631
565,565,5272
566,566,3492
567,567,1719
568,568,3658
569,569,1687
570,570,5034
571,571,1044
572,572,1214
573,573,2317
574,574,754
575,575,2449
576,576,1466
577,577,6852
578,578,2640
579,579,5338
580,580,5055
581,581,7178
582,582,4202
583,583,8459
584,584,2593
585,585,6874
586,586,8994
587,587,6291
588,588,4239
589,589,3060
590,590,4238
591,591,4075
592,592,1029
593,593,8937
594,594,8456
595,595,5622
596,596,6791
597,597,4574
598,598,4390
599,599,5168
600,600,3282
601,601,4756
602,602,3625
603,603,650
604,604,8001
605,605,4049
606,606,6159
607,607,6360
608,608,3539
609,609,2944
610,610,9113
611,611,9712
612,612,8641
613,613,7974
614,614,5993
615,615,2079
616,616,8807
617,617,7079
618,618,3182
619,619,3282
620,620,8244
621,621,3642
622,622,5473
623,623,9819
624,624,3979
625,625,7916
626,626,3827
627,627,7883
628,628,8160
629,629,2150
630,630,6623
631,631,9538
632,632,1670
633,633,9546
634,634,3365
635,635,9250
636,636,6521
637,637,2092
638,638,4755
639,639,3663
640,640,8988
641,641,7815
642,642,3913
643,643,612
644,644,1004
645,645,2971
646,646,7656
647,647,3812
648,648,4861
649,649,4716
650,650,4446
651,651,5289
652,652,6692
653,653,9476
654,654,3769
655,655,7794
656,656,1538
657,657,2294
658,658,8919
659,659,8039
660,660,1206
661,661,5127
662,662,6391
663,663,2887
664,664,4269
665,665,4700
666,666,3286
667,667,4855
668,668,8756
669,669,1689
670,670,5044
671,671,3642
672,672,8045
673,673,2890
674,674,8835
675,675,5270
676,676,3496
677,677,6768
678,678,7488
679,679,9918
680,680,5881
681,681,8086
682,682,4660
683,683,5641
684,684,4905
685,685,9975
686,686,5420
687,687,4282
688,688,5912
689,689,2899
690,690,9093
691,691,5236
692,692,4947
693,693,3036
694,694,1011
695,695,6879
696,696,6219
697,697,6049
698,698,9839
699,699,5578
700,700,3227
701,701,4881
702,702,7560
703,703,1490
704,704,1541
705,705,3551
706,706,3258
707,707,5016
708,708,2283
709,709,8978
710,710,8494
711,711,1053
712,712,4335
713,713,9975
714,714,9614
715,715,5543
716,716,2337
717,717,8608
718,718,4516
719,719,1710
720,720,1126
721,721,1683
722,722,4211
723,723,9028
724,724,4107
725,725,3945
726,726,2252
727,727,3177
728,728,8393
729,729,4286
730,730,2649
731,731,7319
732,732,8494
733,733,6562
734,734,7458
735,735,9929
736,736,6972
737,737,9489
738,738,6029
739,739,4080
740,740,1676
741,741,8253
742,742,3227
743,743,9005
744,744,5051
745,745,7374
746,746,8354
747,747,2823
748,748,4372
749,749,2500
750,750,3043
751,751,3148
752,752,817
753,753,5527
754,754,833
755,755,7815
756,756,2791
757,757,2165
758,758,5456
759,759,2291
760,760,4749
761,761,9977
762,762,9001
763,763,7093
764,764,5091
765,765,618
766,766,1093
767,767,5375
768,768,7267
769,769,9268
770,770,9501
771,771,9331
772,772,9640
773,773,1600
774,774,4026
775,775,8613
776,776,6729
777,777,9400
778,778,6817
779,779,1270
780,780,8874
781,781,4293
782,782,2073
783,783,7229
784,784,7449
785,785,8823
786,786,1067
787,787,6311
788,788,598
789,789,9759
790,790,2805
791,791,9077
792,792,1670
793,793,6908
794,794,5942
795,795,3564
796,796,5996
797,797,9157
798,798,5641
799,799,3102
800,800,8874
801,801,688
802,802,2153
803,803,3133
804,804,1860
805,805,9459
806,806,6371
807,807,5328
808,808,9917
809,809,2755
810,810,4531
811,811,7004
812,812,6051
813,813,874
814,814,4627
815,815,6001
816,816,6314
817,817,3384
818,818,5907
819,819,3451
820,820,4813
821,821,9910
822,822,4164
823,823,6931
824,824,2905
825,825,3593
826,826,6849
827,827,5445
828,828,3965
829,829,2090
830,830,9364
831,831,7478
832,832,1152
833,833,892
834,834,2038
835,835,6051
836,836,2875
837,837,3346
838,838,1804
839,839,5077
840,840,1863
841,841,9170
842,842,579
843,843,6888
844,844,3404
845,845,3811
846,846,9613
847,847,9256
848,848,4706
849,849,8621
850,850,5082
851,851,7328
852,852,3889
853,853,3862
854,854,8566
855,855,5552
856,856,8107
857,857,5939
858,858,4814
859,859,6182
860,860,6539
861,861,9739
862,862,3241
863,863,9383
864,864,1422
865,865,7346
866,866,3983
867,867,9295
868,868,2319
869,869,879
870,870,2537
871,871,8117
872,872,1923
873,873,4145
874,874,3838
875,875,3972
876,876,685
877,877,6645
878,878,1145
879,879,3922
880,880,3530
881,881,3855
882,882,5398
883,883,4764
884,884,5689
885,885,1689
886,886,9275
887,887,1963
888,888,3412
889,889,7840
890,890,7518
891,891,1842
892,892,1587
893,893,9989
894,894,4478
895,895,7562
896,896,6961
897,897,3211
898,898,2013
899,899,8675
900,900,9851
901,901,4891
902,902,7818
903,903,6036
904,904,1013
905,905,7099
906,906,9988
907,907,7383
908,908,5278
909,909,3896
910,910,8356
911,911,683
912,912,3446
913,913,5133
914,914,8868
915,915,9546
916,916,1460
917,917,1007
918,918,5914
919,919,1435
920,920,7722
921,921,7330
922,922,6759
923,923,5585
924,924,1624
925,925,5565
926,926,1313
927,927,1938
928,928,8886
929,929,6789
930,930,1104
931,931,4803
932,932,2768
933,933,8538
934,934,678
935,935,7587
936,936,5732
937,937,2795
938,938,5401
939,939,3479
940,940,5912
941,941,1565
942,942,1686
943,943,4936
944,944,1529
945,945,700
946,946,2722
947,947,6710
948,948,6105
949,949,9088
950,950,7830
951,951,6287
952,952,6181
953,953,3499
954,954,4619
955,955,6038
956,956,7226
957,957,4406
958,958,6521
959,959,4798
960,960,1438
961,961,7993
962,962,2410
963,963,4862
964,964,4931
965,965,6724
966,966,3187
967,967,8267
968,968,3183
969,969,1522
970,970,9711
971,971,8794
972,972,3094
973,973,2858
974,974,1339
975,975,2368
976,976,7583
977,977,5849
978,978,6209
979,979,8128
980,980,7253
981,981,7577
982,982,7712
983,983,5876
984,984,809
985,985,5792
986,986,6729
987,987,7194
988,988,3444
989,989,8256
990,990,716
991,991,5367
992,992,5058
993,993,8567
994,994,4681
995,995,7315
996,996,2690
997,997,8435
998,998,3533
999,999,2786
1000,1000,7847
1001,1001,8165
1002,1002,7778
1003,1003,2928
1004,1004,7150
1005,1005,5529
1006,1006,2010
1007,1007,6575
1008,1008,8469
1009,1009,2226
1010,1010,1280
1011,1011,516
1012,1012,4901
1013,1013,4727
1014,1014,2241
1015,1015,2377
1016,1016,8742
1017,1017,4867
1018,1018,2271
1019,1019,1572
1020,1020,802
1021,1021,596
1022,1022,6809
1023,1023,8272
1024,1024,6364
1025,1025,5743
1026,1026,4981
1027,1027,1672
1028,1028,6114
1029,1029,1824
1030,1030,4482
1031,1031,5580
1032,1032,9859
1033,1033,9917
1034,1034,1468
1035,1035,9719
1036,1036,6878
1037,1037,866
1038,1038,3529
1039,1039,6025
1040,1040,7022
1041,1041,2702
1042,1042,5458
1043,1043,4311
1044,1044,8869
1045,1045,8333
1046,1046,5391
1047,1047,9036
1048,1048,9048
1049,1049,5456
1050,1050,4689
1051,1051,6048
1052,1052,8221
1053,1053,2484
1054,1054,3220
1055,1055,6276
1056,1056,3257
1057,1057,2792
1058,1058,3984
1059,1059,4430
1060,1060,6733
1061,1061,9225
1062,1062,9565
1063,1063,6975
1064,1064,3532
1065,1065,9862
1066,1066,1586
1067,1067,6962
1068,1068,8815
1069,1069,9557
1070,1070,1925
1071,1071,9908
1072,1072,7593
1073,1073,9273
1074,1074,9824
1075,1075,1942
1076,1076,9164
1077,1077,4296
1078,1078,2619
1079,1079,8636
1080,1080,8269
1081,1081,5980
1082,1082,7086
1083,1083,1924
1084,1084,1001
1085,1085,4931
1086,1086,4039
1087,1087,3456
1088,1088,3997
1089,1089,8726
1090,1090,1555
1091,1091,4878
1092,1092,3199
1093,1093,5801
1094,1094,7199
1095,1095,4313
