GrindingID,G_DatumTijdStart,G_DatumTijdEind,G_Machine,BatchID
1,2024-03-03 09:00:00,2024-03-03 11:05:00,Machine A1,1
2,2024-04-04 10:00:00,2024-04-04 12:42:00,Machine A2,2
3,2024-05-05 11:00:00,2024-05-05 12:09:00,Machine A3,3
4,2024-06-06 12:00:00,2024-06-06 14:22:00,Machine A4,4
5,2024-07-07 13:00:00,2024-07-07 15:27:00,Machine A0,5
6,2024-08-08 14:00:00,2024-08-08 17:00:00,Machine A1,6
7,2024-09-09 15:00:00,2024-09-09 16:17:00,Machine A2,7
8,2024-10-10 08:00:00,2024-10-10 10:04:00,Machine A3,8
9,2024-11-11 09:00:00,2024-11-11 11:56:00,Machine A4,9
10,2024-12-12 10:00:00,2024-12-12 12:05:00,Machine A0,10
11,2024-01-13 11:00:00,2024-01-13 12:41:00,Machine A1,11
12,2024-02-14 12:00:00,2024-02-14 13:11:00,Machine A2,12
13,2024-03-15 13:00:00,2024-03-15 14:24:00,Machine A3,13
14,2024-04-16 14:00:00,2024-04-16 16:09:00,Machine A4,14
15,2024-05-17 15:00:00,2024-05-17 16:09:00,Machine A0,15
16,2024-06-18 08:00:00,2024-06-18 09:44:00,Machine A1,16
17,2024-07-19 09:00:00,2024-07-19 11:02:00,Machine A2,17
18,2024-08-20 10:00:00,2024-08-20 11:34:00,Machine A3,18
19,2024-09-21 11:00:00,2024-09-21 13:31:00,Machine A4,19
20,2024-10-22 12:00:00,2024-10-22 13:59:00,Machine A0,20
21,2024-11-23 13:00:00,2024-11-23 14:42:00,Machine A1,21
22,2024-12-24 14:00:00,2024-12-24 16:07:00,Machine A2,22
23,2024-01-25 15:00:00,2024-01-25 16:09:00,Machine A3,23
24,2024-02-26 08:00:00,2024-02-26 09:24:00,Machine A4,24
25,2024-03-27 09:00:00,2024-03-27 10:07:00,Machine A0,25
26,2024-04-28 10:00:00,2024-04-28 12:47:00,Machine A1,26
27,2024-05-01 11:00:00,2024-05-01 12:51:00,Machine A2,27
28,2024-06-02 12:00:00,2024-06-02 14:28:00,Machine A3,28
29,2024-07-03 13:00:00,2024-07-03 15:22:00,Machine A4,29
30,2024-08-04 14:00:00,2024-08-04 16:54:00,Machine A0,30
31,2024-09-05 15:00:00,2024-09-05 16:22:00,Machine A1,31
32,2024-10-06 08:00:00,2024-10-06 10:55:00,Machine A2,32
