0,1,2
1,1,3142
2,2,1746
3,3,9205
4,4,6120
5,5,3139
6,6,6015
7,7,6229
8,8,6519
9,9,6769
10,10,6551
11,11,7727
12,12,2480
13,13,2291
14,14,2349
15,15,2731
16,16,8132
17,17,7024
18,18,2975
19,19,2082
20,20,513
21,21,9322
22,22,5471
23,23,2745
24,24,8042
25,25,4663
26,26,4224
27,27,4185
28,28,8757
29,29,906
30,30,1417
31,31,3217
32,32,4986
33,33,3014
34,34,4324
35,35,8720
36,36,8499
37,37,5224
38,38,8923
39,39,4799
40,40,1605
41,41,7374
42,42,8218
43,43,4830
44,44,7146
45,45,5398
46,46,2019
47,47,9991
48,48,3555
49,49,9925
50,50,4439
51,51,3071
52,52,640
53,53,5441
54,54,2213
55,55,4960
56,56,7151
57,57,3894
58,58,4452
59,59,1384
60,60,4617
61,61,6413
62,62,3943
63,63,5566
64,64,3700
65,65,3729
66,66,7616
67,67,3995
68,68,2295
69,69,5952
70,70,4119
71,71,645
72,72,1296
73,73,7227
74,74,1404
75,75,9530
76,76,8699
77,77,4908
78,78,9240
79,79,3392
80,80,7656
81,81,9219
82,82,9804
83,83,9624
84,84,1360
85,85,1337
86,86,8142
87,87,9599
88,88,8794
89,89,6163
90,90,7832
91,91,2879
92,92,6138
93,93,9231
94,94,6547
95,95,8787
96,96,3484
97,97,5918
98,98,9710
99,99,1851
100,100,2162
101,101,8214
102,102,1709
103,103,4162
104,104,7111
105,105,6283
106,106,2220
107,107,7162
108,108,9006
109,109,9726
110,110,1528
111,111,8424
112,112,5479
113,113,779
114,114,6749
115,115,2330
116,116,2647
117,117,8087
118,118,4051
119,119,9667
120,120,4496
121,121,5024
122,122,7283
123,123,856
124,124,1529
125,125,9877
126,126,6136
127,127,7910
128,128,4359
129,129,8864
130,130,7853
131,131,9880
132,132,1724
133,133,1639
134,134,908
135,135,3093
136,136,8664
137,137,5072
138,138,7463
139,139,8331
140,140,4352
141,141,8993
142,142,7280
143,143,1750
144,144,3669
145,145,9264
146,146,3285
147,147,9471
148,148,5306
149,149,9254
150,150,835
151,151,7104
152,152,5902
153,153,5673
154,154,9631
155,155,1259
156,156,7448
157,157,4826
158,158,1296
159,159,2413
160,160,5312
161,161,3933
162,162,7705
163,163,4564
164,164,9004
165,165,2197
166,166,7800
167,167,9297
168,168,6072
169,169,668
170,170,4408
171,171,6467
172,172,7561
173,173,1868
174,174,2946
175,175,7136
176,176,920
177,177,9023
178,178,4063
179,179,8547
180,180,6850
181,181,1129
182,182,2354
183,183,3839
184,184,7288
185,185,2958
186,186,1899
187,187,7138
188,188,2284
189,189,5662
190,190,4070
191,191,3679
192,192,3206
193,193,9043
194,194,8815
195,195,3856
196,196,3099
