LeveringID,LeveringDatum,VerwachteLeverdatum
1,2024-05-02,2024-07-04
2,2024-06-03,2024-08-05
3,2024-07-04,2024-09-06
4,2024-08-05,2024-10-07
5,2024-09-06,2024-11-08
6,2024-10-07,2024-12-09
7,2024-11-08,2024-01-10
8,2024-12-09,2024-02-11
9,2024-01-10,2024-03-12
10,2024-02-11,2024-04-13
11,2024-03-12,2024-05-14
12,2024-04-13,2024-06-15
13,2024-05-14,2024-07-16
14,2024-06-15,2024-08-17
15,2024-07-16,2024-09-18
16,2024-08-17,2024-10-19
17,2024-09-18,2024-11-20
18,2024-10-19,2024-12-21
19,2024-11-20,2024-01-22
20,2024-12-21,2024-02-23
21,2024-01-22,2024-03-24
22,2024-02-23,2024-04-25
23,2024-03-24,2024-05-26
24,2024-04-25,2024-06-27
25,2024-05-26,2024-07-28
26,2024-06-27,2024-08-01
27,2024-07-28,2024-09-02
28,2024-08-01,2024-10-03
29,2024-09-02,2024-11-04
30,2024-10-03,2024-12-05
31,2024-11-04,2024-01-06
32,2024-12-05,2024-02-07
33,2024-01-06,2024-03-08
34,2024-02-07,2024-04-09
35,2024-03-08,2024-05-10
36,2024-04-09,2024-06-11
37,2024-05-10,2024-07-12
38,2024-06-11,2024-08-13
39,2024-07-12,2024-09-14
40,2024-08-13,2024-10-15
41,2024-09-14,2024-11-16
42,2024-10-15,2024-12-17
43,2024-11-16,2024-01-18
44,2024-12-17,2024-02-19
45,2024-01-18,2024-03-20
46,2024-02-19,2024-04-21
47,2024-03-20,2024-05-22
48,2024-04-21,2024-06-23
49,2024-05-22,2024-07-24
50,2024-06-23,2024-08-25
51,2024-07-24,2024-09-26
52,2024-08-25,2024-10-27
53,2024-09-26,2024-11-28
54,2024-10-27,2024-12-01
55,2024-11-28,2024-01-02
56,2024-12-01,2024-02-03
57,2024-01-02,2024-03-04
58,2024-02-03,2024-04-05
59,2024-03-04,2024-05-06
60,2024-04-05,2024-06-07
61,2024-05-06,2024-07-08
62,2024-06-07,2024-08-09
63,2024-07-08,2024-09-10
64,2024-08-09,2024-10-11
65,2024-09-10,2024-11-12
66,2024-10-11,2024-12-13
67,2024-11-12,2024-01-14
68,2024-12-13,2024-02-15
69,2024-01-14,2024-03-16
70,2024-02-15,2024-04-17
71,2024-03-16,2024-05-18
72,2024-04-17,2024-06-19
73,2024-05-18,2024-07-20
74,2024-06-19,2024-08-21
75,2024-07-20,2024-09-22
76,2024-08-21,2024-10-23
77,2024-09-22,2024-11-24
78,2024-10-23,2024-12-25
79,2024-11-24,2024-01-26
80,2024-12-25,2024-02-27
81,2024-01-26,2024-03-28
82,2024-02-27,2024-04-01
83,2024-03-28,2024-05-02
84,2024-04-01,2024-06-03
85,2024-05-02,2024-07-04
86,2024-06-03,2024-08-05
87,2024-07-04,2024-09-06
88,2024-08-05,2024-10-07
89,2024-09-06,2024-11-08
90,2024-10-07,2024-12-09
91,2024-11-08,2024-01-10
92,2024-12-09,2024-02-11
93,2024-01-10,2024-03-12
94,2024-02-11,2024-04-13
95,2024-03-12,2024-05-14
96,2024-04-13,2024-06-15
97,2024-05-14,2024-07-16
98,2024-06-15,2024-08-17
99,2024-07-16,2024-09-18
100,2024-08-17,2024-10-19
101,2024-09-18,2024-11-20
102,2024-10-19,2024-12-21
103,2024-11-20,2024-01-22
104,2024-12-21,2024-02-23
105,2024-01-22,2024-03-24
106,2024-02-23,2024-04-25
107,2024-03-24,2024-05-26
108,2024-04-25,2024-06-27
109,2024-05-26,2024-07-28
110,2024-06-27,2024-08-01
111,2024-07-28,2024-09-02
112,2024-08-01,2024-10-03
113,2024-09-02,2024-11-04
114,2024-10-03,2024-12-05
115,2024-11-04,2024-01-06
116,2024-12-05,2024-02-07
117,2024-01-06,2024-03-08
118,2024-02-07,2024-04-09
119,2024-03-08,2024-05-10
120,2024-04-09,2024-06-11
121,2024-05-10,2024-07-12
122,2024-06-11,2024-08-13
123,2024-07-12,2024-09-14
124,2024-08-13,2024-10-15
125,2024-09-14,2024-11-16
126,2024-10-15,2024-12-17
127,2024-11-16,2024-01-18
128,2024-12-17,2024-02-19
129,2024-01-18,2024-03-20
130,2024-02-19,2024-04-21
131,2024-03-20,2024-05-22
132,2024-04-21,2024-06-23
133,2024-05-22,2024-07-24
134,2024-06-23,2024-08-25
135,2024-07-24,2024-09-26
136,2024-08-25,2024-10-27
137,2024-09-26,2024-11-28
138,2024-10-27,2024-12-01
139,2024-11-28,2024-01-02
140,2024-12-01,2024-02-03
141,2024-01-02,2024-03-04
142,2024-02-03,2024-04-05
143,2024-03-04,2024-05-06
144,2024-04-05,2024-06-07
145,2024-05-06,2024-07-08
146,2024-06-07,2024-08-09
147,2024-07-08,2024-09-10
148,2024-08-09,2024-10-11
149,2024-09-10,2024-11-12
150,2024-10-11,2024-12-13
151,2024-11-12,2024-01-14
152,2024-12-13,2024-02-15
153,2024-01-14,2024-03-16
154,2024-02-15,2024-04-17
155,2024-03-16,2024-05-18
156,2024-04-17,2024-06-19
157,2024-05-18,2024-07-20
158,2024-06-19,2024-08-21
159,2024-07-20,2024-09-22
160,2024-08-21,2024-10-23
161,2024-09-22,2024-11-24
162,2024-10-23,2024-12-25
163,2024-11-24,2024-01-26
164,2024-12-25,2024-02-27
165,2024-01-26,2024-03-28
166,2024-02-27,2024-04-01
167,2024-03-28,2024-05-02
168,2024-04-01,2024-06-03
169,2024-05-02,2024-07-04
170,2024-06-03,2024-08-05
171,2024-07-04,2024-09-06
172,2024-08-05,2024-10-07
173,2024-09-06,2024-11-08
174,2024-10-07,2024-12-09
175,2024-11-08,2024-01-10
176,2024-12-09,2024-02-11
177,2024-01-10,2024-03-12
178,2024-02-11,2024-04-13
179,2024-03-12,2024-05-14
180,2024-04-13,2024-06-15
181,2024-05-14,2024-07-16
182,2024-06-15,2024-08-17
183,2024-07-16,2024-09-18
184,2024-08-17,2024-10-19
185,2024-09-18,2024-11-20
186,2024-10-19,2024-12-21
187,2024-11-20,2024-01-22
188,2024-12-21,2024-02-23
189,2024-01-22,2024-03-24
190,2024-02-23,2024-04-25
191,2024-03-24,2024-05-26
192,2024-04-25,2024-06-27
193,2024-05-26,2024-07-28
194,2024-06-27,2024-08-01
195,2024-07-28,2024-09-02
196,2024-08-01,2024-10-03
197,2024-09-02,2024-11-04
198,2024-10-03,2024-12-05
199,2024-11-04,2024-01-06
200,2024-12-05,2024-02-07
201,2024-01-06,2024-03-08
202,2024-02-07,2024-04-09
203,2024-03-08,2024-05-10
204,2024-04-09,2024-06-11
205,2024-05-10,2024-07-12
206,2024-06-11,2024-08-13
207,2024-07-12,2024-09-14
208,2024-08-13,2024-10-15
209,2024-09-14,2024-11-16
210,2024-10-15,2024-12-17
211,2024-11-16,2024-01-18
212,2024-12-17,2024-02-19
213,2024-01-18,2024-03-20
214,2024-02-19,2024-04-21
215,2024-03-20,2024-05-22
216,2024-04-21,2024-06-23
217,2024-05-22,2024-07-24
218,2024-06-23,2024-08-25
219,2024-07-24,2024-09-26
220,2024-08-25,2024-10-27
221,2024-09-26,2024-11-28
222,2024-10-27,2024-12-01
223,2024-11-28,2024-01-02
224,2024-12-01,2024-02-03
225,2024-01-02,2024-03-04
226,2024-02-03,2024-04-05
227,2024-03-04,2024-05-06
228,2024-04-05,2024-06-07
229,2024-05-06,2024-07-08
230,2024-06-07,2024-08-09
231,2024-07-08,2024-09-10
232,2024-08-09,2024-10-11
233,2024-09-10,2024-11-12
234,2024-10-11,2024-12-13
235,2024-11-12,2024-01-14
236,2024-12-13,2024-02-15
237,2024-01-14,2024-03-16
238,2024-02-15,2024-04-17
239,2024-03-16,2024-05-18
240,2024-04-17,2024-06-19
241,2024-05-18,2024-07-20
242,2024-06-19,2024-08-21
243,2024-07-20,2024-09-22
244,2024-08-21,2024-10-23
245,2024-09-22,2024-11-24
246,2024-10-23,2024-12-25
247,2024-11-24,2024-01-26
248,2024-12-25,2024-02-27
249,2024-01-26,2024-03-28
250,2024-02-27,2024-04-01
251,2024-03-28,2024-05-02
252,2024-04-01,2024-06-03
253,2024-05-02,2024-07-04
254,2024-06-03,2024-08-05
255,2024-07-04,2024-09-06
256,2024-08-05,2024-10-07
257,2024-09-06,2024-11-08
258,2024-10-07,2024-12-09
259,2024-11-08,2024-01-10
260,2024-12-09,2024-02-11
261,2024-01-10,2024-03-12
262,2024-02-11,2024-04-13
263,2024-03-12,2024-05-14
264,2024-04-13,2024-06-15
265,2024-05-14,2024-07-16
266,2024-06-15,2024-08-17
267,2024-07-16,2024-09-18
268,2024-08-17,2024-10-19
269,2024-09-18,2024-11-20
270,2024-10-19,2024-12-21
271,2024-11-20,2024-01-22
272,2024-12-21,2024-02-23
273,2024-01-22,2024-03-24
274,2024-02-23,2024-04-25
275,2024-03-24,2024-05-26
276,2024-04-25,2024-06-27
277,2024-05-26,2024-07-28
278,2024-06-27,2024-08-01
279,2024-07-28,2024-09-02
280,2024-08-01,2024-10-03
281,2024-09-02,2024-11-04
282,2024-10-03,2024-12-05
283,2024-11-04,2024-01-06
284,2024-12-05,2024-02-07
285,2024-01-06,2024-03-08
286,2024-02-07,2024-04-09
287,2024-03-08,2024-05-10
288,2024-04-09,2024-06-11
289,2024-05-10,2024-07-12
290,2024-06-11,2024-08-13
291,2024-07-12,2024-09-14
292,2024-08-13,2024-10-15
293,2024-09-14,2024-11-16
294,2024-10-15,2024-12-17
295,2024-11-16,2024-01-18
296,2024-12-17,2024-02-19
297,2024-01-18,2024-03-20
298,2024-02-19,2024-04-21
299,2024-03-20,2024-05-22
300,2024-04-21,2024-06-23
301,2024-05-22,2024-07-24
302,2024-06-23,2024-08-25
303,2024-07-24,2024-09-26
304,2024-08-25,2024-10-27
305,2024-09-26,2024-11-28
306,2024-10-27,2024-12-01
307,2024-11-28,2024-01-02
308,2024-12-01,2024-02-03
309,2024-01-02,2024-03-04
310,2024-02-03,2024-04-05
311,2024-03-04,2024-05-06
312,2024-04-05,2024-06-07
313,2024-05-06,2024-07-08
314,2024-06-07,2024-08-09
315,2024-07-08,2024-09-10
316,2024-08-09,2024-10-11
317,2024-09-10,2024-11-12
318,2024-10-11,2024-12-13
319,2024-11-12,2024-01-14
320,2024-12-13,2024-02-15
321,2024-01-14,2024-03-16
322,2024-02-15,2024-04-17
323,2024-03-16,2024-05-18
324,2024-04-17,2024-06-19
325,2024-05-18,2024-07-20
326,2024-06-19,2024-08-21
327,2024-07-20,2024-09-22
328,2024-08-21,2024-10-23
329,2024-09-22,2024-11-24
330,2024-10-23,2024-12-25
331,2024-11-24,2024-01-26
332,2024-12-25,2024-02-27
333,2024-01-26,2024-03-28
334,2024-02-27,2024-04-01
335,2024-03-28,2024-05-02
336,2024-04-01,2024-06-03
337,2024-05-02,2024-07-04
338,2024-06-03,2024-08-05
339,2024-07-04,2024-09-06
340,2024-08-05,2024-10-07
341,2024-09-06,2024-11-08
342,2024-10-07,2024-12-09
343,2024-11-08,2024-01-10
344,2024-12-09,2024-02-11
345,2024-01-10,2024-03-12
346,2024-02-11,2024-04-13
347,2024-03-12,2024-05-14
348,2024-04-13,2024-06-15
349,2024-05-14,2024-07-16
350,2024-06-15,2024-08-17
351,2024-07-16,2024-09-18
352,2024-08-17,2024-10-19
353,2024-09-18,2024-11-20
354,2024-10-19,2024-12-21
355,2024-11-20,2024-01-22
356,2024-12-21,2024-02-23
357,2024-01-22,2024-03-24
358,2024-02-23,2024-04-25
359,2024-03-24,2024-05-26
360,2024-04-25,2024-06-27
361,2024-05-26,2024-07-28
362,2024-06-27,2024-08-01
363,2024-07-28,2024-09-02
364,2024-08-01,2024-10-03
365,2024-09-02,2024-11-04
366,2024-10-03,2024-12-05
367,2024-11-04,2024-01-06
368,2024-12-05,2024-02-07
369,2024-01-06,2024-03-08
370,2024-02-07,2024-04-09
371,2024-03-08,2024-05-10
372,2024-04-09,2024-06-11
373,2024-05-10,2024-07-12
374,2024-06-11,2024-08-13
375,2024-07-12,2024-09-14
376,2024-08-13,2024-10-15
377,2024-09-14,2024-11-16
378,2024-10-15,2024-12-17
379,2024-11-16,2024-01-18
380,2024-12-17,2024-02-19
381,2024-01-18,2024-03-20
382,2024-02-19,2024-04-21
383,2024-03-20,2024-05-22
384,2024-04-21,2024-06-23
385,2024-05-22,2024-07-24
386,2024-06-23,2024-08-25
387,2024-07-24,2024-09-26
388,2024-08-25,2024-10-27
389,2024-09-26,2024-11-28
390,2024-10-27,2024-12-01
391,2024-11-28,2024-01-02
392,2024-12-01,2024-02-03
393,2024-01-02,2024-03-04
394,2024-02-03,2024-04-05
395,2024-03-04,2024-05-06
396,2024-04-05,2024-06-07
397,2024-05-06,2024-07-08
398,2024-06-07,2024-08-09
399,2024-07-08,2024-09-10
400,2024-08-09,2024-10-11
401,2024-09-10,2024-11-12
402,2024-10-11,2024-12-13
403,2024-11-12,2024-01-14
404,2024-12-13,2024-02-15
405,2024-01-14,2024-03-16
406,2024-02-15,2024-04-17
407,2024-03-16,2024-05-18
408,2024-04-17,2024-06-19
409,2024-05-18,2024-07-20
410,2024-06-19,2024-08-21
411,2024-07-20,2024-09-22
412,2024-08-21,2024-10-23
413,2024-09-22,2024-11-24
414,2024-10-23,2024-12-25
415,2024-11-24,2024-01-26
416,2024-12-25,2024-02-27
417,2024-01-26,2024-03-28
418,2024-02-27,2024-04-01
419,2024-03-28,2024-05-02
420,2024-04-01,2024-06-03
421,2024-05-02,2024-07-04
422,2024-06-03,2024-08-05
423,2024-07-04,2024-09-06
424,2024-08-05,2024-10-07
425,2024-09-06,2024-11-08
426,2024-10-07,2024-12-09
427,2024-11-08,2024-01-10
428,2024-12-09,2024-02-11
429,2024-01-10,2024-03-12
430,2024-02-11,2024-04-13
431,2024-03-12,2024-05-14
432,2024-04-13,2024-06-15
433,2024-05-14,2024-07-16
434,2024-06-15,2024-08-17
435,2024-07-16,2024-09-18
436,2024-08-17,2024-10-19
437,2024-09-18,2024-11-20
438,2024-10-19,2024-12-21
439,2024-11-20,2024-01-22
440,2024-12-21,2024-02-23
441,2024-01-22,2024-03-24
442,2024-02-23,2024-04-25
443,2024-03-24,2024-05-26
444,2024-04-25,2024-06-27
445,2024-05-26,2024-07-28
446,2024-06-27,2024-08-01
447,2024-07-28,2024-09-02
448,2024-08-01,2024-10-03
449,2024-09-02,2024-11-04
450,2024-10-03,2024-12-05
451,2024-11-04,2024-01-06
452,2024-12-05,2024-02-07
453,2024-01-06,2024-03-08
454,2024-02-07,2024-04-09
455,2024-03-08,2024-05-10
456,2024-04-09,2024-06-11
457,2024-05-10,2024-07-12
458,2024-06-11,2024-08-13
459,2024-07-12,2024-09-14
460,2024-08-13,2024-10-15
461,2024-09-14,2024-11-16
462,2024-10-15,2024-12-17
463,2024-11-16,2024-01-18
464,2024-12-17,2024-02-19
465,2024-01-18,2024-03-20
466,2024-02-19,2024-04-21
467,2024-03-20,2024-05-22
468,2024-04-21,2024-06-23
469,2024-05-22,2024-07-24
470,2024-06-23,2024-08-25
471,2024-07-24,2024-09-26
472,2024-08-25,2024-10-27
473,2024-09-26,2024-11-28
474,2024-10-27,2024-12-01
475,2024-11-28,2024-01-02
476,2024-12-01,2024-02-03
477,2024-01-02,2024-03-04
478,2024-02-03,2024-04-05
479,2024-03-04,2024-05-06
480,2024-04-05,2024-06-07
481,2024-05-06,2024-07-08
482,2024-06-07,2024-08-09
483,2024-07-08,2024-09-10
484,2024-08-09,2024-10-11
485,2024-09-10,2024-11-12
486,2024-10-11,2024-12-13
487,2024-11-12,2024-01-14
488,2024-12-13,2024-02-15
489,2024-01-14,2024-03-16
490,2024-02-15,2024-04-17
491,2024-03-16,2024-05-18
492,2024-04-17,2024-06-19
493,2024-05-18,2024-07-20
494,2024-06-19,2024-08-21
495,2024-07-20,2024-09-22
496,2024-08-21,2024-10-23
497,2024-09-22,2024-11-24
498,2024-10-23,2024-12-25
499,2024-11-24,2024-01-26
500,2024-12-25,2024-02-27
501,2024-01-26,2024-03-28
502,2024-02-27,2024-04-01
503,2024-03-28,2024-05-02
504,2024-04-01,2024-06-03
505,2024-05-02,2024-07-04
506,2024-06-03,2024-08-05
507,2024-07-04,2024-09-06
508,2024-08-05,2024-10-07
509,2024-09-06,2024-11-08
510,2024-10-07,2024-12-09
511,2024-11-08,2024-01-10
512,2024-12-09,2024-02-11
513,2024-01-10,2024-03-12
514,2024-02-11,2024-04-13
515,2024-03-12,2024-05-14
516,2024-04-13,2024-06-15
517,2024-05-14,2024-07-16
518,2024-06-15,2024-08-17
519,2024-07-16,2024-09-18
520,2024-08-17,2024-10-19
521,2024-09-18,2024-11-20
522,2024-10-19,2024-12-21
523,2024-11-20,2024-01-22
524,2024-12-21,2024-02-23
525,2024-01-22,2024-03-24
526,2024-02-23,2024-04-25
527,2024-03-24,2024-05-26
528,2024-04-25,2024-06-27
529,2024-05-26,2024-07-28
530,2024-06-27,2024-08-01
531,2024-07-28,2024-09-02
532,2024-08-01,2024-10-03
533,2024-09-02,2024-11-04
534,2024-10-03,2024-12-05
535,2024-11-04,2024-01-06
536,2024-12-05,2024-02-07
537,2024-01-06,2024-03-08
538,2024-02-07,2024-04-09
539,2024-03-08,2024-05-10
540,2024-04-09,2024-06-11
541,2024-05-10,2024-07-12
542,2024-06-11,2024-08-13
543,2024-07-12,2024-09-14
544,2024-08-13,2024-10-15
545,2024-09-14,2024-11-16
546,2024-10-15,2024-12-17
547,2024-11-16,2024-01-18
548,2024-12-17,2024-02-19
549,2024-01-18,2024-03-20
550,2024-02-19,2024-04-21
551,2024-03-20,2024-05-22
552,2024-04-21,2024-06-23
553,2024-05-22,2024-07-24
554,2024-06-23,2024-08-25
555,2024-07-24,2024-09-26
556,2024-08-25,2024-10-27
557,2024-09-26,2024-11-28
558,2024-10-27,2024-12-01
559,2024-11-28,2024-01-02
560,2024-12-01,2024-02-03
561,2024-01-02,2024-03-04
562,2024-02-03,2024-04-05
563,2024-03-04,2024-05-06
564,2024-04-05,2024-06-07
565,2024-05-06,2024-07-08
566,2024-06-07,2024-08-09
567,2024-07-08,2024-09-10
568,2024-08-09,2024-10-11
569,2024-09-10,2024-11-12
570,2024-10-11,2024-12-13
571,2024-11-12,2024-01-14
572,2024-12-13,2024-02-15
573,2024-01-14,2024-03-16
574,2024-02-15,2024-04-17
575,2024-03-16,2024-05-18
576,2024-04-17,2024-06-19
577,2024-05-18,2024-07-20
578,2024-06-19,2024-08-21
579,2024-07-20,2024-09-22
580,2024-08-21,2024-10-23
581,2024-09-22,2024-11-24
582,2024-10-23,2024-12-25
583,2024-11-24,2024-01-26
584,2024-12-25,2024-02-27
585,2024-01-26,2024-03-28
586,2024-02-27,2024-04-01
587,2024-03-28,2024-05-02
588,2024-04-01,2024-06-03
589,2024-05-02,2024-07-04
590,2024-06-03,2024-08-05
591,2024-07-04,2024-09-06
592,2024-08-05,2024-10-07
