0,1,2
1,1,3679
2,2,8735
3,3,9002
4,4,8326
5,5,5299
6,6,5393
7,7,5048
8,8,8239
9,9,2621
10,10,764
11,11,2013
12,12,7536
13,13,1276
14,14,7118
15,15,7719
16,16,5453
17,17,3343
18,18,3638
19,19,3853
20,20,1246
21,21,9390
22,22,5344
23,23,5849
24,24,6099
25,25,2110
26,26,2625
27,27,3921
28,28,5191
29,29,7298
30,30,8032
31,31,3924
32,32,5451
33,33,2850
34,34,7871
35,35,492
36,36,3714
37,37,7895
38,38,5041
39,39,7278
40,40,2196
41,41,7173
42,42,156
43,43,792
44,44,5397
45,45,5123
46,46,5772
47,47,6282
48,48,8578
49,49,7913
50,50,7281
51,51,2622
52,52,5750
53,53,2588
54,54,6693
55,55,9334
56,56,5369
57,57,8346
58,58,4390
59,59,7717
60,60,915
61,61,7380
62,62,8531
63,63,7065
64,64,9240
65,65,2488
66,66,2889
67,67,5598
68,68,9238
69,69,5226
70,70,8415
71,71,2206
72,72,9267
73,73,7915
74,74,7808
75,75,9935
76,76,101
77,77,4082
78,78,7370
79,79,3504
80,80,2294
81,81,9516
82,82,997
83,83,6741
84,84,7515
85,85,4933
86,86,7026
87,87,8459
88,88,3696
89,89,3311
90,90,7969
91,91,4396
92,92,7288
93,93,1003
94,94,7102
95,95,7604
96,96,6428
97,97,7925
98,98,6470
99,99,3598
100,100,4071
101,101,4552
102,102,7362
103,103,4733
104,104,9390
105,105,9447
106,106,976
107,107,3276
108,108,4657
109,109,6288
110,110,5027
111,111,990
112,112,9845
113,113,1518
114,114,8730
115,115,3473
116,116,8016
117,117,3182
118,118,9631
119,119,342
120,120,9511
121,121,3545
122,122,4751
123,123,4473
124,124,679
125,125,5840
126,126,336
127,127,4427
128,128,8549
129,129,2207
130,130,4350
131,131,9104
132,132,104
133,133,7594
134,134,290
135,135,9157
136,136,6130
137,137,661
138,138,2790
139,139,8721
140,140,9539
141,141,7271
142,142,2764
143,143,7438
144,144,6764
145,145,6341
146,146,9729
147,147,5553
148,148,4553
149,149,5627
150,150,6078
151,151,107
152,152,476
153,153,9158
154,154,7999
155,155,5100
156,156,1492
157,157,7913
158,158,3014
159,159,5308
160,160,1935
161,161,3053
162,162,6554
163,163,7969
164,164,1982
165,165,6064
166,166,1081
167,167,3440
168,168,9182
169,169,8457
170,170,8379
171,171,6685
172,172,9811
173,173,8719
174,174,2141
175,175,5102
176,176,3468
177,177,4394
178,178,9272
179,179,8788
180,180,8783
181,181,2333
182,182,8174
183,183,372
184,184,6083
185,185,7814
186,186,1189
187,187,743
188,188,495
189,189,7502
190,190,1418
191,191,3167
192,192,5527
193,193,7463
194,194,462
195,195,6593
196,196,1938
197,197,7021
198,198,5877
199,199,2402
200,200,2717
201,201,3503
202,202,7830
203,203,5237
204,204,308
205,205,5368
206,206,2834
207,207,1024
208,208,7757
209,209,1020
210,210,4869
211,211,8334
212,212,717
213,213,7928
214,214,7935
215,215,8560
216,216,8402
217,217,3324
218,218,2513
219,219,5450
220,220,7523
221,221,6914
222,222,9567
223,223,3240
224,224,6996
225,225,1656
226,226,4823
227,227,5733
228,228,5895
229,229,7603
230,230,4494
231,231,725
232,232,3061
233,233,329
234,234,1189
235,235,5981
236,236,9262
237,237,5682
238,238,2568
239,239,1732
240,240,6548
241,241,4797
242,242,3390
243,243,8493
244,244,6582
245,245,8869
246,246,1439
247,247,5075
248,248,9404
249,249,5928
250,250,5789
251,251,7465
252,252,4176
253,253,5633
254,254,3884
255,255,2854
256,256,9916
257,257,341
258,258,907
259,259,8280
260,260,6711
261,261,8540
262,262,5950
263,263,9967
264,264,1007
265,265,8140
266,266,8651
267,267,9807
268,268,6808
269,269,7372
270,270,2583
271,271,2828
272,272,8100
273,273,9208
274,274,6038
275,275,5180
276,276,1144
277,277,3995
278,278,2899
279,279,4512
280,280,9741
281,281,2461
282,282,3413
283,283,9161
284,284,9856
285,285,7091
286,286,1178
287,287,1389
288,288,2991
289,289,3986
290,290,6210
291,291,3444
292,292,5234
293,293,1459
294,294,6705
295,295,4333
296,296,1408
297,297,2856
298,298,6619
299,299,7284
300,300,1408
301,301,3637
302,302,1238
303,303,6642
304,304,1436
305,305,1843
306,306,7250
307,307,5855
308,308,4897
309,309,1215
310,310,7297
311,311,5031
312,312,8773
313,313,5517
314,314,566
315,315,1721
316,316,6917
317,317,5195
318,318,1672
319,319,4186
320,320,4709
321,321,6420
322,322,3338
323,323,8229
324,324,1935
325,325,3708
326,326,8250
327,327,1100
328,328,4401
329,329,9474
330,330,2457
331,331,3671
332,332,8278
333,333,6236
334,334,3103
335,335,5718
336,336,9376
337,337,9382
338,338,7834
339,339,4508
340,340,4537
341,341,4245
342,342,6844
343,343,6711
344,344,5971
345,345,4079
346,346,8910
347,347,9007
348,348,1271
349,349,4359
350,350,5143
351,351,5916
352,352,7049
353,353,8967
354,354,3485
355,355,4323
356,356,9964
357,357,9367
358,358,7668
359,359,3152
360,360,9042
361,361,9426
362,362,2948
363,363,5657
364,364,4819
365,365,8026
366,366,3253
367,367,5981
368,368,8606
369,369,3635
370,370,8310
371,371,4143
372,372,2678
373,373,1831
374,374,4352
375,375,470
376,376,3251
377,377,3917
378,378,5809
379,379,2213
380,380,8485
381,381,8535
382,382,4678
383,383,4520
384,384,6185
385,385,2842
386,386,1058
387,387,1517
388,388,684
389,389,5280
390,390,8854
391,391,6136
392,392,3735
393,393,6190
394,394,7857
395,395,6048
396,396,2334
397,397,212
398,398,1481
399,399,9121
400,400,1195
401,401,6786
402,402,469
403,403,4929
404,404,9669
405,405,5760
406,406,123
407,407,5886
408,408,3269
409,409,6624
410,410,5230
411,411,7696
412,412,1897
413,413,9197
414,414,602
415,415,2128
416,416,9900
417,417,5679
418,418,3806
419,419,8570
420,420,6935
421,421,7329
422,422,3820
423,423,6164
424,424,9475
425,425,8324
426,426,4673
427,427,3553
428,428,6586
429,429,8976
430,430,1993
431,431,6298
432,432,2134
433,433,5835
434,434,6132
435,435,4106
436,436,695
437,437,9147
438,438,4353
439,439,6332
440,440,7260
441,441,968
442,442,2753
443,443,7856
444,444,2065
445,445,2883
446,446,7043
447,447,2766
448,448,1800
449,449,9643
450,450,4071
451,451,3052
452,452,8229
453,453,8982
454,454,2061
455,455,8024
456,456,6591
457,457,8089
458,458,102
459,459,3688
460,460,204
461,461,9614
462,462,6260
463,463,7940
464,464,8702
465,465,4587
466,466,1482
467,467,8752
468,468,3218
469,469,4649
470,470,7500
471,471,5617
472,472,1200
473,473,2215
474,474,985
475,475,6581
476,476,1942
477,477,9724
478,478,1813
479,479,8358
480,480,6535
481,481,6329
482,482,3643
483,483,2125
484,484,8635
485,485,9118
486,486,2813
487,487,4150
488,488,7285
489,489,1324
490,490,9378
491,491,8762
492,492,3203
493,493,9770
494,494,7010
495,495,129
496,496,4340
497,497,4982
498,498,2677
499,499,235
500,500,5180
501,501,7632
502,502,5999
503,503,468
504,504,9424
505,505,8998
506,506,3660
507,507,7268
508,508,7644
509,509,8506
510,510,8945
511,511,4328
512,512,1597
513,513,6192
514,514,2075
515,515,4043
516,516,630
517,517,8717
518,518,663
519,519,6842
520,520,9825
521,521,6613
522,522,9036
523,523,1554
524,524,8038
525,525,2930
526,526,4296
527,527,8428
528,528,1508
529,529,4131
530,530,9781
531,531,1719
532,532,4108
533,533,2733
534,534,2448
535,535,2696
536,536,1083
537,537,5441
538,538,5852
539,539,7662
540,540,1781
541,541,7746
542,542,4208
543,543,6981
544,544,302
545,545,6887
546,546,1694
547,547,1584
548,548,6236
549,549,4110
550,550,4549
551,551,6448
552,552,8287
553,553,5859
554,554,5767
555,555,8430
556,556,6814
557,557,8552
558,558,9896
559,559,7750
560,560,4948
561,561,1300
562,562,7380
563,563,1321
564,564,6900
565,565,144
566,566,1128
567,567,4553
568,568,7586
569,569,5528
570,570,2247
571,571,6223
572,572,8542
573,573,3863
574,574,8281
575,575,4705
576,576,8078
577,577,551
578,578,9289
579,579,2967
580,580,8201
581,581,5573
582,582,2340
583,583,4423
584,584,3022
585,585,7865
586,586,8195
587,587,1527
588,588,3625
589,589,238
590,590,2964
591,591,5520
592,592,3425
593,593,4899
594,594,8268
595,595,8431
596,596,2971
597,597,3248
598,598,1767
599,599,3224
600,600,5599
601,601,7490
602,602,792
