PackagingID,P_DatumTijdStart,P_DatumTijdEind,P_Machine,AantalStuksPerDoos,BatchID
1,2024-05-05 11:30:00,2024-05-05 12:59:00,Machine C1,14,1
2,2024-06-06 12:30:00,2024-06-06 13:37:00,Machine C2,12,2
3,2024-07-07 13:30:00,2024-07-07 15:39:00,Machine C3,10,3
4,2024-08-08 14:30:00,2024-08-08 16:32:00,Machine C4,15,4
5,2024-09-09 15:30:00,2024-09-09 18:11:00,Machine C0,9,5
6,2024-10-10 10:30:00,2024-10-10 12:11:00,Machine C1,17,6
7,2024-11-11 11:30:00,2024-11-11 14:26:00,Machine C2,6,7
8,2024-12-12 12:30:00,2024-12-12 14:19:00,Machine C3,5,8
9,2024-01-13 13:30:00,2024-01-13 15:47:00,Machine C4,6,9
10,2024-02-14 14:30:00,2024-02-14 16:20:00,Machine C0,20,10
11,2024-03-15 15:30:00,2024-03-15 17:42:00,Machine C1,13,11
12,2024-04-16 10:30:00,2024-04-16 12:06:00,Machine C2,14,12
13,2024-05-17 11:30:00,2024-05-17 14:21:00,Machine C3,13,13
14,2024-06-18 12:30:00,2024-06-18 15:29:00,Machine C4,15,14
15,2024-07-19 13:30:00,2024-07-19 15:05:00,Machine C0,11,15
16,2024-08-20 14:30:00,2024-08-20 16:12:00,Machine C1,18,16
17,2024-09-21 15:30:00,2024-09-21 17:57:00,Machine C2,17,17
18,2024-10-22 10:30:00,2024-10-22 12:20:00,Machine C3,6,18
19,2024-11-23 11:30:00,2024-11-23 14:27:00,Machine C4,8,19
20,2024-12-24 12:30:00,2024-12-24 14:24:00,Machine C0,13,20
21,2024-01-25 13:30:00,2024-01-25 16:10:00,Machine C1,14,21
22,2024-02-26 14:30:00,2024-02-26 15:56:00,Machine C2,11,22
23,2024-03-27 15:30:00,2024-03-27 16:46:00,Machine C3,9,23
24,2024-04-28 10:30:00,2024-04-28 12:55:00,Machine C4,10,24
25,2024-05-01 11:30:00,2024-05-01 12:42:00,Machine C0,18,25
26,2024-06-02 12:30:00,2024-06-02 15:04:00,Machine C1,10,26
27,2024-07-03 13:30:00,2024-07-03 15:44:00,Machine C2,11,27
28,2024-08-04 14:30:00,2024-08-04 17:14:00,Machine C3,16,28
29,2024-09-05 15:30:00,2024-09-05 16:33:00,Machine C4,12,29
30,2024-10-06 10:30:00,2024-10-06 12:15:00,Machine C0,13,30
31,2024-11-07 11:30:00,2024-11-07 14:27:00,Machine C1,17,31
32,2024-12-08 12:30:00,2024-12-08 14:14:00,Machine C2,7,32
33,2024-01-09 13:30:00,2024-01-09 16:29:00,Machine C3,13,33
34,2024-02-10 14:30:00,2024-02-10 15:40:00,Machine C4,13,34
35,2024-03-11 15:30:00,2024-03-11 17:08:00,Machine C0,10,35
36,2024-04-12 10:30:00,2024-04-12 13:20:00,Machine C1,5,36
37,2024-05-13 11:30:00,2024-05-13 14:14:00,Machine C2,13,37
38,2024-06-14 12:30:00,2024-06-14 15:05:00,Machine C3,11,38
39,2024-07-15 13:30:00,2024-07-15 15:23:00,Machine C4,16,39
40,2024-08-16 14:30:00,2024-08-16 15:33:00,Machine C0,17,40
