0,1,2
1,1,2849
2,2,9056
3,3,726
4,4,1921
5,5,3203
6,6,8520
7,7,4396
8,8,8148
9,9,901
10,10,4991
11,11,7068
12,12,8144
13,13,2794
14,14,3721
15,15,4189
16,16,1852
17,17,732
18,18,4430
19,19,6504
20,20,1638
21,21,2208
22,22,8252
23,23,6211
24,24,2854
25,25,4590
26,26,6740
27,27,2950
28,28,7667
29,29,8052
30,30,6525
31,31,3019
32,32,1290
33,33,1517
34,34,8154
35,35,5182
36,36,7776
37,37,7022
38,38,4635
39,39,2822
40,40,9089
41,41,7484
42,42,3209
43,43,2903
44,44,9656
45,45,4961
46,46,1464
47,47,1745
48,48,4944
49,49,5055
50,50,9389
51,51,4520
52,52,2963
53,53,4458
54,54,2555
55,55,8285
56,56,5037
57,57,5003
58,58,8438
59,59,3031
60,60,2231
61,61,4674
62,62,9641
63,63,5397
64,64,6048
65,65,2373
66,66,2078
67,67,1984
68,68,1198
69,69,2536
70,70,6512
71,71,3819
72,72,5824
73,73,2041
74,74,3313
75,75,4710
76,76,7075
77,77,8443
78,78,7773
79,79,5822
80,80,5125
81,81,5043
82,82,8709
83,83,717
84,84,7493
85,85,7296
86,86,9754
87,87,9423
88,88,4671
89,89,9392
90,90,4919
91,91,598
92,92,867
93,93,5130
94,94,8190
95,95,597
96,96,8284
97,97,9534
98,98,7092
99,99,5085
100,100,6721
101,101,6506
102,102,1353
103,103,8066
104,104,7648
105,105,8344
106,106,7151
107,107,3952
108,108,4970
109,109,2617
110,110,1265
111,111,5333
112,112,6573
113,113,2104
114,114,2141
115,115,5830
116,116,2768
117,117,3833
118,118,2775
119,119,3998
120,120,3595
121,121,4557
122,122,8827
123,123,3903
124,124,1866
125,125,8614
126,126,5636
127,127,9101
128,128,7027
129,129,9370
130,130,2687
131,131,1547
132,132,4806
133,133,6940
134,134,3821
135,135,4087
136,136,2451
137,137,2263
138,138,1136
139,139,4066
140,140,1893
141,141,4279
142,142,3137
143,143,9252
144,144,7067
145,145,5005
146,146,4659
147,147,8911
148,148,4872
149,149,9103
150,150,9805
151,151,9941
152,152,7568
153,153,9906
154,154,2823
155,155,9556
156,156,7233
157,157,4531
158,158,8868
159,159,717
160,160,5780
161,161,8596
162,162,5613
163,163,3918
164,164,3715
165,165,6006
166,166,6362
167,167,6690
168,168,8857
169,169,6414
170,170,2583
171,171,4164
172,172,695
173,173,8105
174,174,2993
175,175,4606
176,176,800
177,177,9504
178,178,9365
179,179,1993
180,180,1060
181,181,8777
182,182,5719
183,183,4260
184,184,8924
185,185,8879
186,186,2825
187,187,3612
188,188,8048
189,189,1065
190,190,3152
191,191,7789
192,192,6393
193,193,7918
194,194,1190
195,195,861
196,196,1536
197,197,7338
198,198,6109
199,199,7731
200,200,5795
201,201,4757
202,202,5442
203,203,5612
204,204,3572
205,205,7133
206,206,2621
207,207,9670
208,208,3462
209,209,6173
210,210,2876
211,211,697
212,212,3613
213,213,6386
214,214,3583
215,215,9744
216,216,5681
217,217,5745
218,218,7161
219,219,3784
220,220,9540
221,221,6029
222,222,4102
223,223,6456
224,224,9142
225,225,600
226,226,1231
227,227,3253
228,228,3870
229,229,855
230,230,6469
231,231,3973
232,232,7347
233,233,6741
234,234,8029
235,235,8348
236,236,5640
237,237,552
238,238,1961
239,239,5104
240,240,2988
241,241,8595
242,242,7328
243,243,8477
244,244,9738
245,245,6965
246,246,4519
247,247,1169
248,248,7299
249,249,3066
250,250,1162
251,251,2693
252,252,5538
253,253,9045
254,254,1964
255,255,1914
256,256,8333
257,257,1524
258,258,4438
259,259,2374
260,260,8907
261,261,648
262,262,5457
263,263,6427
264,264,9786
265,265,7855
266,266,3271
267,267,2749
268,268,1045
269,269,6310
270,270,944
271,271,764
272,272,6089
273,273,3019
274,274,7111
275,275,7960
276,276,7039
277,277,765
278,278,9184
279,279,733
280,280,3429
281,281,6271
282,282,557
283,283,6349
284,284,5318
285,285,9328
286,286,6726
287,287,4554
288,288,9680
289,289,1998
290,290,1697
291,291,577
292,292,775
293,293,1848
294,294,1028
295,295,9447
296,296,4816
297,297,9508
298,298,5064
299,299,6859
300,300,4565
301,301,7771
302,302,2629
303,303,8707
304,304,2953
305,305,5514
306,306,4064
307,307,7310
308,308,9351
309,309,1855
310,310,8410
311,311,5506
312,312,2283
313,313,844
314,314,2543
315,315,3485
316,316,6544
317,317,8903
318,318,8745
319,319,7345
320,320,3296
321,321,3098
322,322,5856
323,323,2485
324,324,8905
325,325,633
326,326,1134
327,327,3224
328,328,2409
329,329,8342
330,330,6974
331,331,1382
332,332,4019
333,333,1567
334,334,6942
335,335,2625
336,336,842
337,337,4613
338,338,4490
339,339,3882
340,340,2930
341,341,924
342,342,6412
343,343,3411
344,344,9066
345,345,4910
346,346,9171
347,347,1561
348,348,7961
349,349,2134
350,350,9617
351,351,8662
352,352,579
353,353,4087
354,354,4192
355,355,1628
356,356,6915
357,357,5017
358,358,6216
359,359,3691
360,360,4580
361,361,8497
362,362,4029
363,363,2918
364,364,4874
365,365,4263
366,366,1174
367,367,7294
368,368,2156
369,369,4360
370,370,9082
371,371,6522
372,372,2008
373,373,3768
374,374,7086
375,375,931
376,376,5271
377,377,6276
378,378,992
379,379,5624
380,380,8846
381,381,4401
382,382,7396
383,383,5092
384,384,9330
385,385,2729
386,386,9745
387,387,4235
388,388,3218
389,389,9357
390,390,1562
391,391,8004
392,392,4779
393,393,9440
394,394,8450
395,395,4925
396,396,7684
397,397,8160
398,398,2629
399,399,2091
400,400,8018
401,401,3324
402,402,7346
403,403,3967
404,404,4967
405,405,9297
406,406,8999
407,407,9840
408,408,539
409,409,3505
410,410,4888
411,411,3626
412,412,8711
413,413,4376
414,414,9514
415,415,3280
416,416,1589
417,417,9867
418,418,8178
419,419,6604
420,420,8680
421,421,8998
422,422,2393
423,423,2645
424,424,3053
425,425,9896
426,426,8499
427,427,9856
428,428,4889
429,429,3941
430,430,7946
431,431,1209
432,432,4409
433,433,1922
434,434,4297
435,435,5909
436,436,1645
437,437,4842
438,438,2715
439,439,8433
440,440,7149
441,441,3595
442,442,1859
443,443,3050
444,444,1313
445,445,7232
446,446,4450
447,447,6103
448,448,5655
449,449,4783
450,450,2490
451,451,6684
452,452,4386
453,453,1573
454,454,8475
455,455,9599
456,456,6721
457,457,4801
458,458,2674
459,459,566
460,460,6482
461,461,2609
462,462,9910
463,463,6559
464,464,8109
465,465,4033
466,466,9435
467,467,7169
468,468,5543
469,469,3601
470,470,5067
471,471,8352
472,472,5159
473,473,8397
474,474,9569
475,475,673
476,476,7053
477,477,8214
478,478,2914
479,479,2615
480,480,7788
481,481,804
482,482,6732
483,483,3672
484,484,1806
485,485,2881
486,486,1786
487,487,9993
488,488,4418
489,489,2519
490,490,5548
491,491,7198
492,492,5340
493,493,5142
494,494,5225
495,495,6569
496,496,8397
497,497,5358
498,498,1030
499,499,4580
500,500,9818
501,501,6967
502,502,9906
503,503,2157
504,504,8790
505,505,7243
506,506,5979
507,507,783
508,508,2044
509,509,695
510,510,7763
511,511,1755
512,512,2784
513,513,1907
514,514,9966
515,515,7560
516,516,8008
517,517,1287
518,518,7419
519,519,1938
520,520,2512
521,521,2296
522,522,4937
523,523,6654
524,524,1294
525,525,7324
526,526,829
527,527,711
528,528,4742
529,529,1677
530,530,6641
531,531,1454
532,532,8394
533,533,2987
534,534,2684
535,535,1213
536,536,8865
537,537,5436
538,538,4137
539,539,9615
540,540,1241
541,541,8813
542,542,7110
543,543,8744
544,544,6278
545,545,5764
546,546,7058
547,547,4370
548,548,8303
549,549,3293
550,550,512
551,551,9978
552,552,1038
553,553,9761
554,554,2719
555,555,6743
556,556,959
557,557,5859
558,558,3324
559,559,9480
560,560,7951
561,561,2923
562,562,2449
563,563,2380
564,564,8869
565,565,7129
566,566,2547
567,567,1246
568,568,4510
569,569,8139
570,570,9834
571,571,4376
572,572,2161
573,573,3953
574,574,8386
575,575,5186
576,576,2590
577,577,7336
578,578,2129
579,579,4548
580,580,9252
581,581,8199
582,582,9912
583,583,3889
584,584,6226
585,585,8090
586,586,3413
587,587,7548
588,588,6772
589,589,5699
590,590,2712
591,591,1113
592,592,2564
593,593,2553
594,594,1221
595,595,2957
596,596,2313
597,597,2579
598,598,3813
599,599,6364
600,600,1119
601,601,8896
602,602,8766
603,603,4566
604,604,4753
605,605,7942
606,606,1210
607,607,9011
608,608,937
609,609,6798
610,610,2937
611,611,7425
612,612,1497
613,613,7172
614,614,5960
615,615,2512
616,616,625
617,617,5908
618,618,4646
619,619,3294
620,620,6002
621,621,3092
622,622,1115
623,623,9576
624,624,3142
625,625,3094
626,626,3241
627,627,4381
628,628,5774
629,629,3910
630,630,6407
631,631,7810
632,632,3104
633,633,3148
634,634,3881
635,635,6071
636,636,8093
637,637,5937
638,638,3400
639,639,1077
640,640,8070
641,641,1714
642,642,3555
643,643,2794
644,644,6215
645,645,9123
646,646,6888
647,647,5657
648,648,8245
649,649,2201
650,650,8215
651,651,4771
652,652,8244
653,653,5335
654,654,1535
655,655,9817
656,656,2967
657,657,982
658,658,8019
659,659,5161
660,660,3561
661,661,5579
662,662,5031
663,663,9167
664,664,2395
665,665,9863
666,666,8144
667,667,5612
668,668,891
669,669,5625
670,670,8404
671,671,1673
672,672,7561
673,673,678
674,674,761
675,675,7795
676,676,7850
677,677,3091
678,678,7945
679,679,4557
680,680,6164
681,681,1750
682,682,3476
683,683,8612
684,684,2665
685,685,4720
686,686,970
687,687,5993
688,688,5966
689,689,669
690,690,8913
691,691,2543
692,692,973
693,693,6928
694,694,2512
695,695,3725
696,696,9518
697,697,2295
698,698,2202
699,699,4946
700,700,5459
701,701,513
702,702,8900
703,703,8376
704,704,4289
705,705,5050
706,706,3050
707,707,950
708,708,2894
709,709,1150
710,710,7948
711,711,3992
712,712,8451
713,713,925
714,714,9132
715,715,4449
716,716,4178
717,717,1747
718,718,1905
719,719,2685
720,720,3876
721,721,6568
722,722,4244
723,723,4142
724,724,1664
725,725,1226
726,726,4635
727,727,7201
728,728,1759
729,729,1467
730,730,5213
731,731,6154
732,732,845
733,733,6851
734,734,2887
735,735,916
736,736,3155
737,737,5647
738,738,1377
739,739,3428
740,740,4468
741,741,7374
742,742,7207
743,743,2487
744,744,2857
745,745,6904
746,746,6361
747,747,2674
748,748,1932
749,749,1757
750,750,1841
751,751,2740
752,752,3184
753,753,1275
754,754,766
755,755,4460
756,756,7201
757,757,6674
758,758,4448
759,759,4583
760,760,8652
761,761,5628
762,762,6685
763,763,7996
764,764,6525
765,765,7064
766,766,4667
767,767,7282
768,768,4682
769,769,725
770,770,5276
771,771,9523
772,772,5956
773,773,7166
774,774,3548
775,775,688
776,776,5219
777,777,9727
778,778,5451
779,779,8567
780,780,8232
781,781,2529
782,782,8334
783,783,6446
784,784,9360
785,785,4651
786,786,6871
787,787,9582
788,788,4211
789,789,6133
790,790,9622
791,791,4519
792,792,6529
793,793,8906
794,794,7793
795,795,8971
796,796,4148
797,797,8344
798,798,9975
799,799,3524
800,800,7582
801,801,2643
802,802,3965
803,803,8818
804,804,2064
805,805,5018
806,806,8040
807,807,8965
808,808,9329
809,809,4405
810,810,1855
811,811,7540
812,812,6397
813,813,3409
814,814,9190
815,815,7891
816,816,8745
817,817,4051
818,818,4342
819,819,3106
820,820,6018
821,821,9907
822,822,9222
823,823,8211
824,824,8001
825,825,5132
826,826,504
827,827,5538
828,828,1747
829,829,8791
830,830,7911
831,831,1267
832,832,976
833,833,3297
834,834,7578
835,835,4661
836,836,3574
837,837,5021
838,838,7441
839,839,6144
840,840,7466
841,841,8353
842,842,5175
843,843,4343
844,844,3164
845,845,2491
846,846,7491
847,847,2812
848,848,4179
849,849,3737
850,850,8013
851,851,3782
852,852,1358
853,853,8987
854,854,9460
855,855,1564
856,856,3756
857,857,5455
858,858,9849
859,859,5538
860,860,8048
861,861,889
862,862,4954
863,863,5568
864,864,9205
865,865,7607
866,866,2231
867,867,1684
868,868,8027
869,869,1330
870,870,9039
871,871,1183
872,872,4927
873,873,7101
874,874,5066
875,875,9857
876,876,6935
877,877,840
878,878,9911
879,879,2269
880,880,3440
881,881,6776
882,882,5065
883,883,9177
884,884,1314
885,885,2801
886,886,4161
887,887,6786
888,888,6910
889,889,6778
890,890,4470
891,891,1216
892,892,622
893,893,9725
894,894,4852
895,895,1720
896,896,4031
897,897,9910
898,898,3348
899,899,4737
900,900,6042
901,901,3357
902,902,7904
903,903,4513
904,904,1917
905,905,1465
906,906,2648
907,907,1920
908,908,505
909,909,2811
910,910,9432
911,911,1091
912,912,5113
913,913,9846
914,914,7844
915,915,3230
916,916,7728
917,917,7324
918,918,8921
919,919,6447
920,920,5779
921,921,988
922,922,7383
923,923,3481
924,924,3130
925,925,9752
926,926,5719
927,927,2146
928,928,676
929,929,5556
930,930,4554
931,931,7500
932,932,1994
933,933,3152
934,934,2462
935,935,1601
936,936,4272
937,937,694
938,938,5742
939,939,3936
940,940,6785
941,941,2484
942,942,6479
943,943,7522
944,944,1965
945,945,6070
946,946,8247
947,947,7651
948,948,7807
949,949,5943
950,950,8174
951,951,9763
952,952,2850
953,953,4518
954,954,8853
955,955,9684
956,956,9669
957,957,4037
958,958,4072
959,959,7046
960,960,778
961,961,6442
962,962,1554
963,963,4263
964,964,2351
965,965,1925
966,966,8450
967,967,4717
968,968,3283
969,969,9644
970,970,8540
971,971,9632
972,972,9951
973,973,4287
974,974,8866
975,975,7290
976,976,1207
977,977,1453
978,978,8091
979,979,9341
980,980,2732
981,981,2837
982,982,3822
983,983,1028
984,984,4591
985,985,5171
986,986,9601
987,987,4439
988,988,6319
989,989,8618
990,990,824
991,991,4440
992,992,5044
993,993,8583
994,994,2928
995,995,1614
996,996,1079
997,997,1909
998,998,3658
999,999,754
1000,1000,5131
1001,1001,8805
1002,1002,2783
1003,1003,3093
1004,1004,2420
1005,1005,8742
1006,1006,629
1007,1007,4761
1008,1008,2030
1009,1009,5424
1010,1010,7674
1011,1011,2068
1012,1012,5024
1013,1013,6949
1014,1014,9299
1015,1015,4785
1016,1016,7436
1017,1017,1245
1018,1018,1058
1019,1019,4094
1020,1020,8253
1021,1021,961
1022,1022,9070
1023,1023,8055
1024,1024,5081
1025,1025,7347
1026,1026,5744
1027,1027,5893
1028,1028,9979
1029,1029,4258
1030,1030,6420
1031,1031,1302
1032,1032,6516
1033,1033,9932
1034,1034,925
1035,1035,8454
1036,1036,2853
1037,1037,589
1038,1038,872
1039,1039,5287
1040,1040,1606
1041,1041,593
1042,1042,4456
1043,1043,3142
1044,1044,4696
1045,1045,1310
1046,1046,3389
1047,1047,9173
1048,1048,7998
1049,1049,8354
1050,1050,7822
1051,1051,3720
1052,1052,7206
1053,1053,9119
1054,1054,1226
1055,1055,6099
1056,1056,2895
1057,1057,1274
1058,1058,855
1059,1059,6410
1060,1060,3312
1061,1061,6724
1062,1062,673
1063,1063,3131
1064,1064,5121
1065,1065,1865
1066,1066,6173
1067,1067,2506
1068,1068,2202
1069,1069,3213
1070,1070,2781
1071,1071,5214
1072,1072,987
1073,1073,4244
1074,1074,2012
1075,1075,1777
1076,1076,724
1077,1077,5201
1078,1078,764
1079,1079,7581
1080,1080,9041
1081,1081,6096
1082,1082,7509
1083,1083,1437
1084,1084,5771
1085,1085,7206
1086,1086,1350
1087,1087,8583
1088,1088,7343
1089,1089,7460
1090,1090,7133
1091,1091,8319
1092,1092,2506
1093,1093,9226
1094,1094,9212
1095,1095,1302
1096,1096,6531
1097,1097,4261
1098,1098,5460
1099,1099,9077
1100,1100,5347
1101,1101,3847
1102,1102,6550
1103,1103,9609
1104,1104,6832
1105,1105,8074
1106,1106,9546
1107,1107,6785
1108,1108,8718
1109,1109,9292
1110,1110,7196
1111,1111,7338
1112,1112,5010
1113,1113,8010
1114,1114,9259
1115,1115,5591
1116,1116,9710
1117,1117,2552
1118,1118,4688
1119,1119,5464
1120,1120,5613
1121,1121,5712
1122,1122,4373
1123,1123,9633
1124,1124,6120
1125,1125,2763
1126,1126,6171
1127,1127,1519
1128,1128,4508
1129,1129,9831
1130,1130,1130
1131,1131,662
1132,1132,7702
1133,1133,1072
1134,1134,7719
1135,1135,1220
1136,1136,871
1137,1137,8426
1138,1138,2472
1139,1139,3257
1140,1140,1057
1141,1141,9971
1142,1142,9164
1143,1143,7910
1144,1144,7669
1145,1145,1804
1146,1146,1831
1147,1147,9492
1148,1148,7384
1149,1149,5361
1150,1150,5563
1151,1151,805
1152,1152,1750
1153,1153,3230
1154,1154,7215
1155,1155,2411
1156,1156,5279
1157,1157,5028
1158,1158,6836
1159,1159,8859
1160,1160,7336
1161,1161,3347
1162,1162,6196
1163,1163,5012
1164,1164,3274
1165,1165,4748
1166,1166,3398
1167,1167,3761
1168,1168,783
1169,1169,7068
1170,1170,6296
1171,1171,2788
1172,1172,7198
1173,1173,6558
1174,1174,1386
1175,1175,836
1176,1176,6588
1177,1177,5657
1178,1178,8186
1179,1179,9785
1180,1180,772
1181,1181,1855
1182,1182,7575
1183,1183,5743
1184,1184,5367
1185,1185,8707
1186,1186,9521
1187,1187,3423
1188,1188,4287
1189,1189,5217
1190,1190,3563
1191,1191,4408
1192,1192,5668
1193,1193,7050
1194,1194,4090
1195,1195,9033
1196,1196,7567
1197,1197,9297
1198,1198,3084
1199,1199,7379
1200,1200,5358
1201,1201,1156
1202,1202,1545
1203,1203,8257
1204,1204,3672
1205,1205,5501
1206,1206,8717
1207,1207,5038
1208,1208,8249
1209,1209,3486
1210,1210,3204
1211,1211,3590
1212,1212,7410
1213,1213,5515
1214,1214,3217
1215,1215,4910
1216,1216,2178
1217,1217,7521
1218,1218,6761
1219,1219,3533
1220,1220,2733
1221,1221,714
1222,1222,3389
1223,1223,5091
1224,1224,3288
1225,1225,1650
1226,1226,6323
1227,1227,2174
1228,1228,5315
1229,1229,6762
1230,1230,5213
1231,1231,4119
1232,1232,9829
1233,1233,1881
1234,1234,9925
1235,1235,1577
1236,1236,5769
1237,1237,9802
1238,1238,4800
1239,1239,2780
1240,1240,4175
1241,1241,1162
1242,1242,4223
1243,1243,2991
1244,1244,6750
1245,1245,7009
1246,1246,7750
1247,1247,4607
1248,1248,6150
1249,1249,2518
1250,1250,6159
1251,1251,7234
1252,1252,1647
1253,1253,4589
1254,1254,1896
1255,1255,743
1256,1256,2581
1257,1257,9159
1258,1258,4873
1259,1259,5972
1260,1260,9331
1261,1261,2228
1262,1262,5352
1263,1263,2019
1264,1264,5084
1265,1265,1629
1266,1266,3999
1267,1267,9937
1268,1268,2963
1269,1269,8066
1270,1270,4736
1271,1271,5389
1272,1272,3013
1273,1273,4885
1274,1274,7958
1275,1275,915
1276,1276,726
1277,1277,6251
1278,1278,3045
1279,1279,2222
1280,1280,7085
1281,1281,536
1282,1282,3322
1283,1283,1239
1284,1284,4705
1285,1285,4086
1286,1286,4872
1287,1287,1502
1288,1288,7069
1289,1289,1831
1290,1290,8406
1291,1291,5529
1292,1292,5305
1293,1293,5670
1294,1294,3653
1295,1295,8016
1296,1296,6024
1297,1297,2735
1298,1298,4487
1299,1299,5325
1300,1300,9891
1301,1301,6450
1302,1302,5104
1303,1303,3272
1304,1304,2664
1305,1305,1980
1306,1306,2916
1307,1307,1397
1308,1308,3780
1309,1309,5738
1310,1310,2795
1311,1311,9969
1312,1312,6734
1313,1313,8000
1314,1314,8910
1315,1315,4461
1316,1316,1526
1317,1317,1638
1318,1318,6631
1319,1319,3922
1320,1320,7604
1321,1321,7373
1322,1322,4616
1323,1323,7040
1324,1324,1163
1325,1325,2703
1326,1326,4419
1327,1327,5544
1328,1328,7176
1329,1329,4040
1330,1330,5958
1331,1331,3165
1332,1332,2021
1333,1333,2462
1334,1334,1098
1335,1335,2951
1336,1336,3345
1337,1337,7088
1338,1338,879
1339,1339,8983
1340,1340,2459
1341,1341,1534
1342,1342,6845
