0,1,2,3,4,5,6,7,8,9
1,Bedrijf 1,Straat 1,53,9574AB,Stad 83,Nederland,bedrijf1@mail.com,0693654277,2
2,Bedrijf 2,Straat 2,171,9550AB,Stad 30,Nederland,bedrijf2@mail.com,0669718195,1
3,Bedrijf 3,Straat 3,78,5086AB,Stad 95,Nederland,bedrijf3@mail.com,0693752571,1
4,Bedrijf 4,Straat 4,79,9272AB,Stad 41,Nederland,bedrijf4@mail.com,0657058634,1
5,Bedrijf 5,Straat 5,35,6395AB,Stad 26,Nederland,bedrijf5@mail.com,0649862347,1
6,Bedrijf 6,Straat 6,127,5122AB,Stad 78,Nederland,bedrijf6@mail.com,0665832502,2
7,Bedrijf 7,Straat 7,32,2016AB,Stad 28,Nederland,bedrijf7@mail.com,0695107639,2
8,Bedrijf 8,Straat 8,119,9027AB,Stad 3,Nederland,bedrijf8@mail.com,0684693731,1
9,Bedrijf 9,Straat 9,60,9163AB,Stad 45,Nederland,bedrijf9@mail.com,0629358340,2
10,Bedrijf 10,Straat 10,96,1435AB,Stad 32,Nederland,bedrijf10@mail.com,0696138060,2
11,Bedrijf 11,Straat 11,145,2028AB,Stad 37,Nederland,bedrijf11@mail.com,0690243262,1
12,Bedrijf 12,Straat 12,5,4284AB,Stad 8,Nederland,bedrijf12@mail.com,0677383285,1
13,Bedrijf 13,Straat 13,189,7965AB,Stad 8,Nederland,bedrijf13@mail.com,0615428610,1
14,Bedrijf 14,Straat 14,99,8355AB,Stad 23,Nederland,bedrijf14@mail.com,0627755622,1
15,Bedrijf 15,Straat 15,43,2144AB,Stad 13,Nederland,bedrijf15@mail.com,0654518292,1
16,Bedrijf 16,Straat 16,171,2381AB,Stad 92,Nederland,bedrijf16@mail.com,0635370349,1
17,Bedrijf 17,Straat 17,70,6487AB,Stad 66,Nederland,bedrijf17@mail.com,0629982569,2
18,Bedrijf 18,Straat 18,72,8537AB,Stad 86,Nederland,bedrijf18@mail.com,0654750346,2
19,Bedrijf 19,Straat 19,28,8474AB,Stad 37,Nederland,bedrijf19@mail.com,0687908280,2
20,Bedrijf 20,Straat 20,191,9340AB,Stad 34,Nederland,bedrijf20@mail.com,0669567816,2
21,Bedrijf 21,Straat 21,171,1369AB,Stad 69,Nederland,bedrijf21@mail.com,0690379904,2
22,Bedrijf 22,Straat 22,99,6668AB,Stad 11,Nederland,bedrijf22@mail.com,0623230108,1
23,Bedrijf 23,Straat 23,171,7339AB,Stad 25,Nederland,bedrijf23@mail.com,0649354292,1
24,Bedrijf 24,Straat 24,55,1744AB,Stad 4,Nederland,bedrijf24@mail.com,0676724557,2
25,Bedrijf 25,Straat 25,117,9463AB,Stad 3,Nederland,bedrijf25@mail.com,0637042798,1
26,Bedrijf 26,Straat 26,182,1524AB,Stad 82,Nederland,bedrijf26@mail.com,0649161290,2
27,Bedrijf 27,Straat 27,24,3188AB,Stad 78,Nederland,bedrijf27@mail.com,0663070411,2
28,Bedrijf 28,Straat 28,38,9150AB,Stad 98,Nederland,bedrijf28@mail.com,0678401156,1
29,Bedrijf 29,Straat 29,13,9532AB,Stad 98,Nederland,bedrijf29@mail.com,0639793275,1
30,Bedrijf 30,Straat 30,195,8529AB,Stad 45,Nederland,bedrijf30@mail.com,0610446489,2
31,Bedrijf 31,Straat 31,133,6761AB,Stad 25,Nederland,bedrijf31@mail.com,0620147322,1
32,Bedrijf 32,Straat 32,184,6406AB,Stad 31,Nederland,bedrijf32@mail.com,0697303590,2
33,Bedrijf 33,Straat 33,80,4367AB,Stad 66,Nederland,bedrijf33@mail.com,0613810247,1
34,Bedrijf 34,Straat 34,163,9807AB,Stad 94,Nederland,bedrijf34@mail.com,0661560314,1
35,Bedrijf 35,Straat 35,109,3459AB,Stad 68,Nederland,bedrijf35@mail.com,0610117453,2
36,Bedrijf 36,Straat 36,173,9551AB,Stad 48,Nederland,bedrijf36@mail.com,0658593906,1
