ProductID,ProductTHTDatum,CStatusProduct,FStatusProduct,PStatusProduct,SoortProductID
1,2024-02-02,In Productie,Niet gevuld,Niet verpakt,2
2,2024-03-03,Gemaakt,Niet gevuld,Niet verpakt,2
3,2024-04-04,In Productie,Gevuld,Niet verpakt,2
4,2024-05-05,Gemaakt,Niet gevuld,Niet verpakt,1
5,2024-06-06,In Productie,Niet gevuld,Verpakt,2
6,2024-07-07,Gemaakt,Gevuld,Niet verpakt,2
7,2024-08-08,In Productie,Niet gevuld,Niet verpakt,2
8,2024-09-09,Gemaakt,Niet gevuld,Niet verpakt,1
9,2024-10-10,In Productie,Gevuld,Niet verpakt,1
10,2024-11-11,Gemaakt,Niet gevuld,Verpakt,1
11,2024-12-12,In Productie,Niet gevuld,Niet verpakt,2
12,2024-01-13,Gemaakt,Gevuld,Niet verpakt,2
13,2024-02-14,In Productie,Niet gevuld,Niet verpakt,1
14,2024-03-15,Gemaakt,Niet gevuld,Niet verpakt,1
15,2024-04-16,In Productie,Gevuld,Verpakt,1
16,2024-05-17,Gemaakt,Niet gevuld,Niet verpakt,2
17,2024-06-18,In Productie,Niet gevuld,Niet verpakt,2
18,2024-07-19,Gemaakt,Gevuld,Niet verpakt,2
19,2024-08-20,In Productie,Niet gevuld,Niet verpakt,2
20,2024-09-21,Gemaakt,Niet gevuld,Verpakt,1
21,2024-10-22,In Productie,Gevuld,Niet verpakt,2
22,2024-11-23,Gemaakt,Niet gevuld,Niet verpakt,2
23,2024-12-24,In Productie,Niet gevuld,Niet verpakt,1
24,2024-01-25,Gemaakt,Gevuld,Niet verpakt,2
25,2024-02-26,In Productie,Niet gevuld,Verpakt,2
26,2024-03-27,Gemaakt,Niet gevuld,Niet verpakt,1
27,2024-04-28,In Productie,Gevuld,Niet verpakt,2
28,2024-05-01,Gemaakt,Niet gevuld,Niet verpakt,1
29,2024-06-02,In Productie,Niet gevuld,Niet verpakt,1
30,2024-07-03,Gemaakt,Gevuld,Verpakt,1
31,2024-08-04,In Productie,Niet gevuld,Niet verpakt,2
32,2024-09-05,Gemaakt,Niet gevuld,Niet verpakt,1
33,2024-10-06,In Productie,Gevuld,Niet verpakt,2
34,2024-11-07,Gemaakt,Niet gevuld,Niet verpakt,1
35,2024-12-08,In Productie,Niet gevuld,Verpakt,2
36,2024-01-09,Gemaakt,Gevuld,Niet verpakt,1
37,2024-02-10,In Productie,Niet gevuld,Niet verpakt,2
38,2024-03-11,Gemaakt,Niet gevuld,Niet verpakt,1
39,2024-04-12,In Productie,Gevuld,Niet verpakt,2
40,2024-05-13,Gemaakt,Niet gevuld,Verpakt,2
41,2024-06-14,In Productie,Niet gevuld,Niet verpakt,2
42,2024-07-15,Gemaakt,Gevuld,Niet verpakt,1
43,2024-08-16,In Productie,Niet gevuld,Niet verpakt,1
44,2024-09-17,Gemaakt,Niet gevuld,Niet verpakt,1
45,2024-10-18,In Productie,Gevuld,Verpakt,1
46,2024-11-19,Gemaakt,Niet gevuld,Niet verpakt,1
47,2024-12-20,In Productie,Niet gevuld,Niet verpakt,2
48,2024-01-21,Gemaakt,Gevuld,Niet verpakt,2
49,2024-02-22,In Productie,Niet gevuld,Niet verpakt,1
50,2024-03-23,Gemaakt,Niet gevuld,Verpakt,1
51,2024-04-24,In Productie,Gevuld,Niet verpakt,1
52,2024-05-25,Gemaakt,Niet gevuld,Niet verpakt,1
53,2024-06-26,In Productie,Niet gevuld,Niet verpakt,1
54,2024-07-27,Gemaakt,Gevuld,Niet verpakt,2
55,2024-08-28,In Productie,Niet gevuld,Verpakt,1
56,2024-09-01,Gemaakt,Niet gevuld,Niet verpakt,1
57,2024-10-02,In Productie,Gevuld,Niet verpakt,2
58,2024-11-03,Gemaakt,Niet gevuld,Niet verpakt,1
59,2024-12-04,In Productie,Niet gevuld,Niet verpakt,1
60,2024-01-05,Gemaakt,Gevuld,Verpakt,2
61,2024-02-06,In Productie,Niet gevuld,Niet verpakt,1
62,2024-03-07,Gemaakt,Niet gevuld,Niet verpakt,1
63,2024-04-08,In Productie,Gevuld,Niet verpakt,1
64,2024-05-09,Gemaakt,Niet gevuld,Niet verpakt,1
65,2024-06-10,In Productie,Niet gevuld,Verpakt,1
66,2024-07-11,Gemaakt,Gevuld,Niet verpakt,1
67,2024-08-12,In Productie,Niet gevuld,Niet verpakt,2
68,2024-09-13,Gemaakt,Niet gevuld,Niet verpakt,1
69,2024-10-14,In Productie,Gevuld,Niet verpakt,2
70,2024-11-15,Gemaakt,Niet gevuld,Verpakt,1
71,2024-12-16,In Productie,Niet gevuld,Niet verpakt,2
72,2024-01-17,Gemaakt,Gevuld,Niet verpakt,1
73,2024-02-18,In Productie,Niet gevuld,Niet verpakt,1
74,2024-03-19,Gemaakt,Niet gevuld,Niet verpakt,2
75,2024-04-20,In Productie,Gevuld,Verpakt,1
76,2024-05-21,Gemaakt,Niet gevuld,Niet verpakt,2
77,2024-06-22,In Productie,Niet gevuld,Niet verpakt,1
78,2024-07-23,Gemaakt,Gevuld,Niet verpakt,2
79,2024-08-24,In Productie,Niet gevuld,Niet verpakt,1
80,2024-09-25,Gemaakt,Niet gevuld,Verpakt,2
81,2024-10-26,In Productie,Gevuld,Niet verpakt,2
82,2024-11-27,Gemaakt,Niet gevuld,Niet verpakt,2
83,2024-12-28,In Productie,Niet gevuld,Niet verpakt,2
84,2024-01-01,Gemaakt,Gevuld,Niet verpakt,2
85,2024-02-02,In Productie,Niet gevuld,Verpakt,2
86,2024-03-03,Gemaakt,Niet gevuld,Niet verpakt,2
87,2024-04-04,In Productie,Gevuld,Niet verpakt,2
88,2024-05-05,Gemaakt,Niet gevuld,Niet verpakt,1
89,2024-06-06,In Productie,Niet gevuld,Niet verpakt,2
90,2024-07-07,Gemaakt,Gevuld,Verpakt,1
91,2024-08-08,In Productie,Niet gevuld,Niet verpakt,1
92,2024-09-09,Gemaakt,Niet gevuld,Niet verpakt,1
93,2024-10-10,In Productie,Gevuld,Niet verpakt,1
94,2024-11-11,Gemaakt,Niet gevuld,Niet verpakt,2
95,2024-12-12,In Productie,Niet gevuld,Verpakt,1
96,2024-01-13,Gemaakt,Gevuld,Niet verpakt,1
97,2024-02-14,In Productie,Niet gevuld,Niet verpakt,1
98,2024-03-15,Gemaakt,Niet gevuld,Niet verpakt,1
99,2024-04-16,In Productie,Gevuld,Niet verpakt,2
100,2024-05-17,Gemaakt,Niet gevuld,Verpakt,1
101,2024-06-18,In Productie,Niet gevuld,Niet verpakt,2
102,2024-07-19,Gemaakt,Gevuld,Niet verpakt,2
103,2024-08-20,In Productie,Niet gevuld,Niet verpakt,1
104,2024-09-21,Gemaakt,Niet gevuld,Niet verpakt,1
105,2024-10-22,In Productie,Gevuld,Verpakt,1
106,2024-11-23,Gemaakt,Niet gevuld,Niet verpakt,2
107,2024-12-24,In Productie,Niet gevuld,Niet verpakt,2
108,2024-01-25,Gemaakt,Gevuld,Niet verpakt,1
109,2024-02-26,In Productie,Niet gevuld,Niet verpakt,2
110,2024-03-27,Gemaakt,Niet gevuld,Verpakt,2
111,2024-04-28,In Productie,Gevuld,Niet verpakt,2
112,2024-05-01,Gemaakt,Niet gevuld,Niet verpakt,2
113,2024-06-02,In Productie,Niet gevuld,Niet verpakt,2
114,2024-07-03,Gemaakt,Gevuld,Niet verpakt,2
115,2024-08-04,In Productie,Niet gevuld,Verpakt,2
116,2024-09-05,Gemaakt,Niet gevuld,Niet verpakt,1
117,2024-10-06,In Productie,Gevuld,Niet verpakt,1
118,2024-11-07,Gemaakt,Niet gevuld,Niet verpakt,1
119,2024-12-08,In Productie,Niet gevuld,Niet verpakt,2
120,2024-01-09,Gemaakt,Gevuld,Verpakt,2
121,2024-02-10,In Productie,Niet gevuld,Niet verpakt,1
122,2024-03-11,Gemaakt,Niet gevuld,Niet verpakt,2
123,2024-04-12,In Productie,Gevuld,Niet verpakt,2
124,2024-05-13,Gemaakt,Niet gevuld,Niet verpakt,1
125,2024-06-14,In Productie,Niet gevuld,Verpakt,2
126,2024-07-15,Gemaakt,Gevuld,Niet verpakt,2
127,2024-08-16,In Productie,Niet gevuld,Niet verpakt,1
128,2024-09-17,Gemaakt,Niet gevuld,Niet verpakt,2
129,2024-10-18,In Productie,Gevuld,Niet verpakt,2
130,2024-11-19,Gemaakt,Niet gevuld,Verpakt,2
131,2024-12-20,In Productie,Niet gevuld,Niet verpakt,2
132,2024-01-21,Gemaakt,Gevuld,Niet verpakt,2
133,2024-02-22,In Productie,Niet gevuld,Niet verpakt,1
134,2024-03-23,Gemaakt,Niet gevuld,Niet verpakt,1
135,2024-04-24,In Productie,Gevuld,Verpakt,1
136,2024-05-25,Gemaakt,Niet gevuld,Niet verpakt,2
137,2024-06-26,In Productie,Niet gevuld,Niet verpakt,1
138,2024-07-27,Gemaakt,Gevuld,Niet verpakt,1
139,2024-08-28,In Productie,Niet gevuld,Niet verpakt,1
140,2024-09-01,Gemaakt,Niet gevuld,Verpakt,2
141,2024-10-02,In Productie,Gevuld,Niet verpakt,2
142,2024-11-03,Gemaakt,Niet gevuld,Niet verpakt,1
143,2024-12-04,In Productie,Niet gevuld,Niet verpakt,1
144,2024-01-05,Gemaakt,Gevuld,Niet verpakt,2
145,2024-02-06,In Productie,Niet gevuld,Verpakt,2
146,2024-03-07,Gemaakt,Niet gevuld,Niet verpakt,2
147,2024-04-08,In Productie,Gevuld,Niet verpakt,2
148,2024-05-09,Gemaakt,Niet gevuld,Niet verpakt,1
149,2024-06-10,In Productie,Niet gevuld,Niet verpakt,1
150,2024-07-11,Gemaakt,Gevuld,Verpakt,1
151,2024-08-12,In Productie,Niet gevuld,Niet verpakt,2
152,2024-09-13,Gemaakt,Niet gevuld,Niet verpakt,1
153,2024-10-14,In Productie,Gevuld,Niet verpakt,1
154,2024-11-15,Gemaakt,Niet gevuld,Niet verpakt,2
155,2024-12-16,In Productie,Niet gevuld,Verpakt,1
156,2024-01-17,Gemaakt,Gevuld,Niet verpakt,1
157,2024-02-18,In Productie,Niet gevuld,Niet verpakt,2
158,2024-03-19,Gemaakt,Niet gevuld,Niet verpakt,2
159,2024-04-20,In Productie,Gevuld,Niet verpakt,2
160,2024-05-21,Gemaakt,Niet gevuld,Verpakt,1
161,2024-06-22,In Productie,Niet gevuld,Niet verpakt,1
162,2024-07-23,Gemaakt,Gevuld,Niet verpakt,1
163,2024-08-24,In Productie,Niet gevuld,Niet verpakt,1
164,2024-09-25,Gemaakt,Niet gevuld,Niet verpakt,1
165,2024-10-26,In Productie,Gevuld,Verpakt,1
166,2024-11-27,Gemaakt,Niet gevuld,Niet verpakt,2
167,2024-12-28,In Productie,Niet gevuld,Niet verpakt,1
168,2024-01-01,Gemaakt,Gevuld,Niet verpakt,1
169,2024-02-02,In Productie,Niet gevuld,Niet verpakt,1
170,2024-03-03,Gemaakt,Niet gevuld,Verpakt,2
171,2024-04-04,In Productie,Gevuld,Niet verpakt,2
172,2024-05-05,Gemaakt,Niet gevuld,Niet verpakt,1
173,2024-06-06,In Productie,Niet gevuld,Niet verpakt,2
174,2024-07-07,Gemaakt,Gevuld,Niet verpakt,2
175,2024-08-08,In Productie,Niet gevuld,Verpakt,2
176,2024-09-09,Gemaakt,Niet gevuld,Niet verpakt,1
177,2024-10-10,In Productie,Gevuld,Niet verpakt,2
178,2024-11-11,Gemaakt,Niet gevuld,Niet verpakt,2
179,2024-12-12,In Productie,Niet gevuld,Niet verpakt,1
180,2024-01-13,Gemaakt,Gevuld,Verpakt,2
181,2024-02-14,In Productie,Niet gevuld,Niet verpakt,1
182,2024-03-15,Gemaakt,Niet gevuld,Niet verpakt,2
183,2024-04-16,In Productie,Gevuld,Niet verpakt,2
184,2024-05-17,Gemaakt,Niet gevuld,Niet verpakt,1
185,2024-06-18,In Productie,Niet gevuld,Verpakt,2
186,2024-07-19,Gemaakt,Gevuld,Niet verpakt,2
