BatchID,ProductID,BatchDatumStart,BatchDatumEind,Aantalgeproduceerd
1,1,2024-03-03,2024-03-04,9072
2,2,2024-04-04,2024-04-05,2816
3,3,2024-05-05,2024-05-06,5407
4,4,2024-06-06,2024-06-07,2168
5,5,2024-07-07,2024-07-08,1074
6,6,2024-08-08,2024-08-09,7157
7,7,2024-09-09,2024-09-10,5320
8,8,2024-10-10,2024-10-11,7394
9,9,2024-11-11,2024-11-12,3685
10,10,2024-12-12,2024-12-13,6200
11,11,2024-01-13,2024-01-14,9429
12,12,2024-02-14,2024-02-15,4156
13,13,2024-03-15,2024-03-16,5660
14,14,2024-04-16,2024-04-17,9114
15,15,2024-05-17,2024-05-18,3691
16,16,2024-06-18,2024-06-19,7486
17,17,2024-07-19,2024-07-20,4276
18,18,2024-08-20,2024-08-21,8407
19,19,2024-09-21,2024-09-22,6947
20,20,2024-10-22,2024-10-23,5792
21,21,2024-11-23,2024-11-24,6527
22,22,2024-12-24,2024-12-25,2643
23,23,2024-01-25,2024-01-26,9921
24,24,2024-02-26,2024-02-27,2412
25,25,2024-03-27,2024-03-28,1369
26,26,2024-04-28,2024-04-01,2579
27,27,2024-05-01,2024-05-02,803
28,28,2024-06-02,2024-06-03,6477
29,29,2024-07-03,2024-07-04,3781
30,30,2024-08-04,2024-08-05,987
31,31,2024-09-05,2024-09-06,1195
32,32,2024-10-06,2024-10-07,6840
33,33,2024-11-07,2024-11-08,8061
34,34,2024-12-08,2024-12-09,2910
35,35,2024-01-09,2024-01-10,5704
36,36,2024-02-10,2024-02-11,6845
37,37,2024-03-11,2024-03-12,592
38,38,2024-04-12,2024-04-13,4552
39,39,2024-05-13,2024-05-14,1054
40,40,2024-06-14,2024-06-15,2230
41,41,2024-07-15,2024-07-16,1690
42,42,2024-08-16,2024-08-17,4285
43,43,2024-09-17,2024-09-18,9069
44,44,2024-10-18,2024-10-19,9619
45,45,2024-11-19,2024-11-20,4822
46,46,2024-12-20,2024-12-21,3552
47,47,2024-01-21,2024-01-22,3457
48,48,2024-02-22,2024-02-23,2256
49,49,2024-03-23,2024-03-24,1436
50,50,2024-04-24,2024-04-25,1843
51,51,2024-05-25,2024-05-26,9215
52,52,2024-06-26,2024-06-27,9282
53,53,2024-07-27,2024-07-28,5898
54,54,2024-08-28,2024-08-01,4961
55,55,2024-09-01,2024-09-02,7565
56,56,2024-10-02,2024-10-03,3786
57,57,2024-11-03,2024-11-04,4434
58,58,2024-12-04,2024-12-05,1239
59,59,2024-01-05,2024-01-06,8173
60,60,2024-02-06,2024-02-07,3503
61,61,2024-03-07,2024-03-08,5147
62,62,2024-04-08,2024-04-09,1656
63,63,2024-05-09,2024-05-10,5473
64,64,2024-06-10,2024-06-11,3129
65,65,2024-07-11,2024-07-12,1043
66,66,2024-08-12,2024-08-13,5669
67,67,2024-09-13,2024-09-14,1713
68,68,2024-10-14,2024-10-15,3197
69,69,2024-11-15,2024-11-16,733
70,70,2024-12-16,2024-12-17,5016
71,71,2024-01-17,2024-01-18,9454
72,72,2024-02-18,2024-02-19,4941
73,73,2024-03-19,2024-03-20,6895
74,74,2024-04-20,2024-04-21,2307
75,75,2024-05-21,2024-05-22,2243
76,76,2024-06-22,2024-06-23,6339
77,77,2024-07-23,2024-07-24,6218
78,78,2024-08-24,2024-08-25,3735
79,79,2024-09-25,2024-09-26,1446
80,80,2024-10-26,2024-10-27,9714
81,81,2024-11-27,2024-11-28,6010
82,82,2024-12-28,2024-12-01,7607
83,83,2024-01-01,2024-01-02,9534
84,84,2024-02-02,2024-02-03,883
85,85,2024-03-03,2024-03-04,782
86,86,2024-04-04,2024-04-05,9499
87,87,2024-05-05,2024-05-06,5525
88,88,2024-06-06,2024-06-07,4883
89,89,2024-07-07,2024-07-08,5442
90,90,2024-08-08,2024-08-09,5441
91,91,2024-09-09,2024-09-10,8333
92,92,2024-10-10,2024-10-11,1119
93,93,2024-11-11,2024-11-12,7566
94,94,2024-12-12,2024-12-13,9328
95,95,2024-01-13,2024-01-14,5616
96,96,2024-02-14,2024-02-15,1227
97,97,2024-03-15,2024-03-16,8057
98,98,2024-04-16,2024-04-17,1232
99,99,2024-05-17,2024-05-18,7738
100,100,2024-06-18,2024-06-19,5916
101,101,2024-07-19,2024-07-20,6702
102,102,2024-08-20,2024-08-21,8679
103,103,2024-09-21,2024-09-22,2467
104,104,2024-10-22,2024-10-23,5583
105,105,2024-11-23,2024-11-24,5377
106,106,2024-12-24,2024-12-25,6404
107,107,2024-01-25,2024-01-26,4140
108,108,2024-02-26,2024-02-27,7670
109,109,2024-03-27,2024-03-28,1866
110,110,2024-04-28,2024-04-01,4609
111,111,2024-05-01,2024-05-02,3461
112,112,2024-06-02,2024-06-03,7528
113,113,2024-07-03,2024-07-04,7210
114,114,2024-08-04,2024-08-05,6500
115,115,2024-09-05,2024-09-06,4623
116,116,2024-10-06,2024-10-07,8002
117,117,2024-11-07,2024-11-08,3994
118,118,2024-12-08,2024-12-09,6568
119,119,2024-01-09,2024-01-10,4017
120,120,2024-02-10,2024-02-11,4353
121,121,2024-03-11,2024-03-12,3610
122,122,2024-04-12,2024-04-13,7646
123,123,2024-05-13,2024-05-14,979
124,124,2024-06-14,2024-06-15,6425
125,125,2024-07-15,2024-07-16,3733
126,126,2024-08-16,2024-08-17,1234
127,127,2024-09-17,2024-09-18,9408
128,128,2024-10-18,2024-10-19,4796
129,129,2024-11-19,2024-11-20,9788
130,130,2024-12-20,2024-12-21,3619
131,131,2024-01-21,2024-01-22,9924
132,132,2024-02-22,2024-02-23,6920
133,133,2024-03-23,2024-03-24,4322
134,134,2024-04-24,2024-04-25,6385
135,135,2024-05-25,2024-05-26,3571
136,136,2024-06-26,2024-06-27,8981
137,137,2024-07-27,2024-07-28,3271
138,138,2024-08-28,2024-08-01,9207
139,139,2024-09-01,2024-09-02,9285
140,140,2024-10-02,2024-10-03,3769
141,141,2024-11-03,2024-11-04,5669
142,142,2024-12-04,2024-12-05,9038
143,143,2024-01-05,2024-01-06,3521
144,144,2024-02-06,2024-02-07,3918
145,145,2024-03-07,2024-03-08,4754
146,146,2024-04-08,2024-04-09,8220
147,147,2024-05-09,2024-05-10,6197
148,148,2024-06-10,2024-06-11,5937
149,149,2024-07-11,2024-07-12,6728
150,150,2024-08-12,2024-08-13,9620
151,151,2024-09-13,2024-09-14,2375
152,152,2024-10-14,2024-10-15,4919
153,153,2024-11-15,2024-11-16,4880
154,154,2024-12-16,2024-12-17,3629
155,155,2024-01-17,2024-01-18,5269
156,156,2024-02-18,2024-02-19,3548
157,157,2024-03-19,2024-03-20,4575
158,158,2024-04-20,2024-04-21,8289
159,159,2024-05-21,2024-05-22,794
160,160,2024-06-22,2024-06-23,7262
161,161,2024-07-23,2024-07-24,9198
162,162,2024-08-24,2024-08-25,5469
163,163,2024-09-25,2024-09-26,2283
164,164,2024-10-26,2024-10-27,3516
165,165,2024-11-27,2024-11-28,1029
166,166,2024-12-28,2024-12-01,4545
167,167,2024-01-01,2024-01-02,5732
168,168,2024-02-02,2024-02-03,3306
169,169,2024-03-03,2024-03-04,6239
170,170,2024-04-04,2024-04-05,2363
171,171,2024-05-05,2024-05-06,3777
172,172,2024-06-06,2024-06-07,7412
173,173,2024-07-07,2024-07-08,1821
174,174,2024-08-08,2024-08-09,9507
175,175,2024-09-09,2024-09-10,6425
176,176,2024-10-10,2024-10-11,2322
177,177,2024-11-11,2024-11-12,9067
178,178,2024-12-12,2024-12-13,5466
179,179,2024-01-13,2024-01-14,7518
180,180,2024-02-14,2024-02-15,1035
181,181,2024-03-15,2024-03-16,7855
182,182,2024-04-16,2024-04-17,5358
183,183,2024-05-17,2024-05-18,6911
184,184,2024-06-18,2024-06-19,9822
185,185,2024-07-19,2024-07-20,6474
186,186,2024-08-20,2024-08-21,3894
187,187,2024-09-21,2024-09-22,4159
188,188,2024-10-22,2024-10-23,3333
189,189,2024-11-23,2024-11-24,8861
190,190,2024-12-24,2024-12-25,6666
191,191,2024-01-25,2024-01-26,679
192,192,2024-02-26,2024-02-27,2615
193,193,2024-03-27,2024-03-28,2280
194,194,2024-04-28,2024-04-01,3392
195,195,2024-05-01,2024-05-02,6854
196,196,2024-06-02,2024-06-03,4226
197,197,2024-07-03,2024-07-04,3009
198,198,2024-08-04,2024-08-05,5476
199,199,2024-09-05,2024-09-06,9550
200,200,2024-10-06,2024-10-07,1043
201,201,2024-11-07,2024-11-08,5670
202,202,2024-12-08,2024-12-09,4415
203,203,2024-01-09,2024-01-10,2382
204,204,2024-02-10,2024-02-11,5412
205,205,2024-03-11,2024-03-12,1945
206,206,2024-04-12,2024-04-13,874
207,207,2024-05-13,2024-05-14,8342
208,208,2024-06-14,2024-06-15,5892
209,209,2024-07-15,2024-07-16,5614
210,210,2024-08-16,2024-08-17,6674
211,211,2024-09-17,2024-09-18,9479
212,212,2024-10-18,2024-10-19,1617
213,213,2024-11-19,2024-11-20,3306
214,214,2024-12-20,2024-12-21,3160
215,215,2024-01-21,2024-01-22,9114
216,216,2024-02-22,2024-02-23,8589
217,217,2024-03-23,2024-03-24,9998
218,218,2024-04-24,2024-04-25,8606
219,219,2024-05-25,2024-05-26,8230
220,220,2024-06-26,2024-06-27,851
221,221,2024-07-27,2024-07-28,4541
222,222,2024-08-28,2024-08-01,8327
223,223,2024-09-01,2024-09-02,4519
224,224,2024-10-02,2024-10-03,7307
225,225,2024-11-03,2024-11-04,2789
226,226,2024-12-04,2024-12-05,6790
227,227,2024-01-05,2024-01-06,3755
228,228,2024-02-06,2024-02-07,1163
229,229,2024-03-07,2024-03-08,9137
230,230,2024-04-08,2024-04-09,8507
231,231,2024-05-09,2024-05-10,752
232,232,2024-06-10,2024-06-11,4517
233,233,2024-07-11,2024-07-12,9201
234,234,2024-08-12,2024-08-13,5720
235,235,2024-09-13,2024-09-14,9499
236,236,2024-10-14,2024-10-15,6604
237,237,2024-11-15,2024-11-16,2632
238,238,2024-12-16,2024-12-17,6186
239,239,2024-01-17,2024-01-18,4705
240,240,2024-02-18,2024-02-19,2538
241,241,2024-03-19,2024-03-20,5341
242,242,2024-04-20,2024-04-21,9533
243,243,2024-05-21,2024-05-22,4632
244,244,2024-06-22,2024-06-23,2470
245,245,2024-07-23,2024-07-24,7370
246,246,2024-08-24,2024-08-25,8299
247,247,2024-09-25,2024-09-26,2240
248,248,2024-10-26,2024-10-27,5714
249,249,2024-11-27,2024-11-28,5526
250,250,2024-12-28,2024-12-01,4781
251,251,2024-01-01,2024-01-02,1318
252,252,2024-02-02,2024-02-03,7574
253,253,2024-03-03,2024-03-04,4276
254,254,2024-04-04,2024-04-05,4393
255,255,2024-05-05,2024-05-06,2671
256,256,2024-06-06,2024-06-07,8172
257,257,2024-07-07,2024-07-08,4290
258,258,2024-08-08,2024-08-09,6911
259,259,2024-09-09,2024-09-10,8400
260,260,2024-10-10,2024-10-11,1859
261,261,2024-11-11,2024-11-12,2401
262,262,2024-12-12,2024-12-13,8334
263,263,2024-01-13,2024-01-14,4078
264,264,2024-02-14,2024-02-15,3679
265,265,2024-03-15,2024-03-16,6134
266,266,2024-04-16,2024-04-17,7711
267,267,2024-05-17,2024-05-18,1548
268,268,2024-06-18,2024-06-19,7866
269,269,2024-07-19,2024-07-20,3390
270,270,2024-08-20,2024-08-21,9674
271,271,2024-09-21,2024-09-22,6713
272,272,2024-10-22,2024-10-23,5647
273,273,2024-11-23,2024-11-24,7058
274,274,2024-12-24,2024-12-25,9357
275,275,2024-01-25,2024-01-26,786
276,276,2024-02-26,2024-02-27,4158
277,277,2024-03-27,2024-03-28,747
278,278,2024-04-28,2024-04-01,5637
279,279,2024-05-01,2024-05-02,4530
280,280,2024-06-02,2024-06-03,5171
281,281,2024-07-03,2024-07-04,3783
282,282,2024-08-04,2024-08-05,8070
283,283,2024-09-05,2024-09-06,6487
284,284,2024-10-06,2024-10-07,7393
285,285,2024-11-07,2024-11-08,8132
286,286,2024-12-08,2024-12-09,8094
287,287,2024-01-09,2024-01-10,942
288,288,2024-02-10,2024-02-11,7255
289,289,2024-03-11,2024-03-12,9658
290,290,2024-04-12,2024-04-13,8061
291,291,2024-05-13,2024-05-14,2556
292,292,2024-06-14,2024-06-15,5815
293,293,2024-07-15,2024-07-16,3080
294,294,2024-08-16,2024-08-17,1759
295,295,2024-09-17,2024-09-18,2931
296,296,2024-10-18,2024-10-19,8931
297,297,2024-11-19,2024-11-20,9736
298,298,2024-12-20,2024-12-21,9497
299,299,2024-01-21,2024-01-22,1889
300,300,2024-02-22,2024-02-23,2905
301,301,2024-03-23,2024-03-24,4623
302,302,2024-04-24,2024-04-25,1255
303,303,2024-05-25,2024-05-26,4140
304,304,2024-06-26,2024-06-27,2230
305,305,2024-07-27,2024-07-28,6680
306,306,2024-08-28,2024-08-01,3307
307,307,2024-09-01,2024-09-02,8958
308,308,2024-10-02,2024-10-03,9341
309,309,2024-11-03,2024-11-04,9206
310,310,2024-12-04,2024-12-05,9845
311,311,2024-01-05,2024-01-06,6751
312,312,2024-02-06,2024-02-07,9564
313,313,2024-03-07,2024-03-08,5580
314,314,2024-04-08,2024-04-09,5523
315,315,2024-05-09,2024-05-10,7229
316,316,2024-06-10,2024-06-11,7508
317,317,2024-07-11,2024-07-12,5434
318,318,2024-08-12,2024-08-13,8643
319,319,2024-09-13,2024-09-14,5200
320,320,2024-10-14,2024-10-15,3774
321,321,2024-11-15,2024-11-16,5934
322,322,2024-12-16,2024-12-17,703
323,323,2024-01-17,2024-01-18,7322
324,324,2024-02-18,2024-02-19,6845
325,325,2024-03-19,2024-03-20,1343
326,326,2024-04-20,2024-04-21,5317
